2024-2026 全球大学排名,,,,,,
学校中文名,学校英文名,国家/地区,QS 2026,USNews 2026,THE 2025,ARWU 2024
伊曼纽尔·康德波罗的海联邦大学,Immanuel Kant Baltic Federal University,俄国,951-1000,-,1201,-
印度理工学院布巴内斯瓦尔,Indian Institute of Technology Bhubaneswar,印度,951-1000,-,-,-
伊万第比利斯国立大学,Ivane Javakhishvili Tbilisi State University,格鲁吉亚,951-1000,1651,1501,-
卡扎尔大学,Khazar University,阿塞拜疆,951-1000,-,-,-
贝尔格拉诺大学,Universidad de Belgrano,阿根廷,951-1000,-,-,-
科尔多瓦大学,Universidad de Cordoba,西班牙,951-1000,1041,801,901
萨瓦纳大学,Universidad de La Sabana,哥伦比亚,951-1000,-,1501,-
EAFIT大学,Universidad EAFIT,哥伦比亚,951-1000,-,1501,-
哥伦比亚外事大学,Universidad Externado de Colombia,哥伦比亚,951-1000,-,-,-
圣马科斯国立大学市长,Universidad Nacional Mayor de San Marcos,秘鲁,951-1000,1821,-,-
托拉卡托迪泰拉大学,Universidad Torcuato Di Tella,阿根廷,951-1000,-,-,-
费拉拉大学,Universita' degli Studi di Ferrara,意大利,951-1000,558,501,701
巴林大学,University of Bahrain,巴林,951-1000,-,-,-
冰雹大学,University of Hail,沙特阿拉伯,951-1000,693,601,-
罗兹大学,University of Lodz,波兰,951-1000,1441,1501,-
马萨诸塞大学波士顿分校,University of Massachusetts Boston,美国,951-1000,827,-,-
西开普大学,University of the Western Cape,南非,951-1000,714,601,-
苏哈尔大学,Sohar University,阿曼,951-1000,-,-,-
阿比尔卡斯·萨吉诺夫卡拉干达技术大学,Abylkas Saginov Karaganda Technical University,哈萨克斯坦,951-1000,-,-,-
圣灵大学（UEES）,Universidad Espíritu Santo (UEES),厄瓜多尔,951-1000,-,-,-
华东理工大学,East China University of Technology,中国,-,1772,-,-
赛城大学,University of Cyberjaya,马来西亚,951-1000,-,-,-
熊本大学,Kumamoto University,日本,951-1000,1134,1001,901
大都会自治大学,Metropolitan Autonomous University,墨西哥,951-1000,1624,1501,-
南京农业大学,Nanjing Agricultural University,中国,951-1000,302,-,301
南京师范大学,Nanjing Normal University,中国,951-1000,492,801,401
国立中正大学,National Chung Cheng University,中国台湾,951-1000,1930,1201,-
南北大学,North South University,孟加拉国,951-1000,-,801,-
基尔大学,Christian-Albrechts-University zu Kiel,德国,618,338,301,201
冈山大学,Okayama University,日本,951-1000,974,801,501
罗伯特·戈登大学,Robert Gordon University,英国,951-1000,-,801,-
罗切斯特理工,Rochester Institute of Technology,美国,951-1000,645,601,-
圣路易斯大学,Saint Louis University,美国,951-1000,623,401,501
上智大学,Sophia University,日本,951-1000,-,1501,-
南乌拉尔州立大学,South Ural State University,俄国,951-1000,345,-,-
拉合尔大学,The University of Lahore,巴基斯坦,951-1000,588,801,901
武汉理工大学,Wuhan University of Technology,中国,951-1000,260,-,201
吉尔吉斯-土耳其玛纳斯大学,Kyrgyz-Turkish Manas University,吉尔吉斯斯坦,951-1000,-,-,-
古鲁·戈宾德·辛格·英德拉普拉斯塔大学,Guru Gobind Singh Indraprastha University,印度,951-1000,-,-,-
纳兰大学,Al-Nahrain University,伊拉克,951-1000,-,1501,-
托莱多大学,University of Toledo,美国,1001-1200,1089,601,601
塔尔萨大学,University of Tulsa,美国,1001-1200,1794,501,-
佛蒙特大学,University of Vermont,美国,1001-1200,572,-,401
奥尔什丁瓦尔米亚和马祖里大学,University of Warmia and Mazury in Olsztyn,波兰,1001-1200,1601,1501,-
西布列塔尼大学,University of Western Brittany,法国,1001-1200,959,801,-
伍尔弗汉普顿大学,University of Wolverhampton,英国,1001-1200,1667,801,-
怀俄明大学,University of Wyoming,美国,1001-1200,869,601,701
齐里纳大学,University of Žilina,斯洛伐克,1001-1200,2117,1001,-
巴黎第二大学,University Paris 2 Panthéon-Assas,法国,1001-1200,-,-,-
犹他州立大学,Utah State University,美国,1001-1200,827,-,401
华沙生命科学大学,Warsaw University of Life Sciences,波兰,1001-1200,1393,1201,-
西弗吉尼亚大学,West Virginia University,美国,1001-1200,667,-,501
西交利物浦大学,Xi‘an Jiaotong-Liverpool University,中国,1001-1200,722,601,901
埃里温州立大学,Yerevan State University,亚美尼亚,1001-1200,-,1501,-
横滨市立大学,Yokohama City University,日本,1001-1200,1018,1001,901
横滨国立大学,Yokohama National University,日本,1001-1200,1759,1201,-
元泽大学,Yuan Ze University,中国台湾,1001-1200,1794,801,-
阿拉木图理工大学,Almaty Technological University,哈萨克斯坦,1001-1200,-,-,-
诚信女子大学,Sungshin Women's University,韩国,1001-1200,-,-,-
北方边境大学,Northern Borders University,沙特阿拉伯,1001-1200,1618,1001,-
立命馆亚太大学,Ritsumeikan Asia Pacific University,日本,1001-1200,-,-,-
米科拉斯罗梅里斯大学,Mykolas Romeris University,立陶宛,1001-1200,-,-,-
安巴尔大学,University of Anbar,伊拉克,1001-1200,-,1201,-
卡林加工业技术学院,Kalinga Institute of Industrial Technology (KIIT),印度,1001-1200,1484,-,-
D. Serikbayev东哈萨克斯坦技术大学,D. Serikbayev East Kazakhstan Technical University,哈萨克斯坦,1001-1200,-,-,-
水仙花国际大学,Daffodil International University,孟加拉国,1001-1200,1022,801,-
纳尔克索斯大学,Narxoz University,哈萨克斯坦,1001-1200,-,-,-
格鲁吉亚技术大学,Georgian Technical University,格鲁吉亚,1001-1200,-,1501,-
吉尔吉斯斯坦俄罗斯斯拉夫大学,Kyrgyz Russian Slavic University,吉尔吉斯斯坦,1001-1200,-,-,-
纽约市立大学城市学院,The City College of New York,美国,1001-1200,833,-,501
阿塞拜疆建筑大学,Azerbaijan University of Architecture and Construction,阿塞拜疆,1001-1200,-,-,-
基尔大学,Keele University,英国,801-850,822,501,-
阿曼德国技术大学（GUTECH）,German University of Technology in Oman (GUTECH),阿曼,1001-1200,-,-,-
黎巴嫩伊斯兰大学,Islamic University of Lebanon,黎巴嫩,1001-1200,-,-,-
帕沃尔·约瑟夫·萨法里大学,Pavol Josef Safarik University,斯洛伐克,1001-1200,-,-,-
撒马尔罕国立大学,Samarkand State University,乌兹别克斯坦,1001-1200,-,-,-
阿根廷公司大学（UADE）,Universidad Argentina de la Empresa -UADE,阿根廷,1001-1200,-,-,-
那不勒斯帕特诺佩大学,Universita' degli Studi di Napoli "Parthenope",意大利,1001-1200,-,-,-
范朗大学,Van Lang University,越南,1001-1200,-,-,-
约旦中东大学,Middle East University Jordan,约旦,1001-1200,-,-,-
委内瑞拉西蒙·玻利瓦尔大学,Universidad Simón Bolívar Venezuela,委内瑞拉玻利瓦尔共和,1001-1200,-,-,-
亚当森大学,Adamson University,菲律宾,1001-1200,-,-,-
苏姆盖特国立大学,Sumgait State University,阿塞拜疆,1001-1200,-,-,-
塔什干国立经济大学,Tashkent State University of Economics,乌兹别克斯坦,1001-1200,-,-,-
吉隆坡大学,Universiti Kuala Lumpur,马来西亚,1201-1400,-,1501,-
阿迦汗大学,Aga Khan University,巴基斯坦,1001-1200,785,-,-
爱资哈尔大学,Al-Azhar University,埃及,1001-1200,281,801,701
亚历山德鲁伊万库扎大学,Alexandru Ioan Cuza University,罗马尼亚,1001-1200,1354,1501,-
阿里格尔穆斯林大学,Aligarh Muslim University,印度,1001-1200,676,601,801
甘露大学,Amrita Vishwa Vidyapeetham,印度,1001-1200,2188,-,-
安纳杰国立大学,An-Najah National University,巴勒斯坦,1001-1200,-,1201,-
阿拉伯科学、技术和海运学院,"Arab Academy for Science, Technology and Maritime Transport",埃及,1001-1200,-,1201,-
阿修特大学,Assiut University,埃及,1001-1200,427,1201,-
智利南方大学,Austral University of Chile,智利,1001-1200,1314,1501,-
巴纳拉斯印度大学,Banaras Hindu University,印度,1001-1200,775,601,901
贝勒大学,Baylor University,美国,1001-1200,440,601,501
北京邮电大学,Beijing University of Posts,中国,1001-1200,546,-,501
比勒费尔德大学,Bielefeld University,德国,1001-1200,687,-,601
纽约州立大学宾汉姆顿大学,Binghamton University,美国,1001-1200,1188,601,501
伯明翰城市大学,Birmingham City University,英国,1001-1200,1545,801,-
杨百翰大学,Brigham Young University,美国,1001-1200,817,-,601
中原大学,Chung Yuan Christian University,中国台湾,1001-1200,1924,1201,-
忠北国立大学,Chungbuk National University,韩国,1001-1200,1402,1001,701
克拉克大学,Clark University,美国,1001-1200,-,601,-
威廉与玛丽学院,College of William and Mary,美国,1001-1200,1207,601,-
克拉科夫工业大学,Cracow University of Technology,波兰,1001-1200,1752,1501,-
檀国大学,Dankook University,韩国,1001-1200,1869,1501,-
巴拉那联邦大学,Federal University of Parana,巴西,1001-1200,970,1201,701
圣卡洛斯联邦大学,Federal University of Sao Carlos,巴西,1001-1200,1009,1201,801
费德里科圣玛丽亚技术大学,Federico Santa María Technical University,智利,1001-1200,1207,1501,-
俄罗斯联邦政府金融大学,Financial University under the Government of the Russian Federation,俄国,1001-1200,-,1001,-
佛罗里达大西洋大学,Florida Atlantic University,美国,1001-1200,1067,601,801
福特汉姆大学,Fordham University,美国,1001-1200,1199,-,-
盖布泽技术大学,Gebze Technical University,土耳其,1001-1200,1550,1201,-
岐阜大学,Gifu University,日本,1001-1200,1526,1201,-
格拉斯哥卡利多尼亚大学,Glasgow Caledonian University,英国,1001-1200,1309,801,-
翰林大学,Hallym University,韩国,1001-1200,1794,1201,901
哈尔滨工程大学,Harbin Engineering University,中国,1001-1200,699,801,501
河海大学,Hohai University,中国,1001-1200,483,-,401
霍华德大学,Howard University,美国,1001-1200,1093,-,-
匈牙利农业与生命科学大学,Hungarian University of Agriculture and Life Sciences,匈牙利,1001-1200,1741,1001,-
印第安纳大学-印第安纳波利斯,Indiana University-Purdue University at Indianapolis,美国,1001-1200,-,-,301
海梅一世大学,Jaume I University,西班牙,1001-1200,1212,801,601
江原国立大学,Kangwon National University,韩国,1001-1200,1459,1201,801
哈萨克斯坦-英国技术大学,Kazakh-British Technical University,哈萨克斯坦,1001-1200,-,-,-
肯特州立大学,Kent State University,美国,1001-1200,937,-,701
东京都立大学,Tokyo Metropolitan University,日本,1001-1200,1309,1201,-
安德烈斯·贝洛大学,Universidad Andres Bello,智利,1001-1200,1138,1501,901
卡斯蒂利亚 - 拉曼恰大学,University of Castilla-La Mancha,西班牙,1001-1200,1028,801,701
吉隆坡大学,KL University,印度,-,-,801,-
美洲普埃布拉大学（UDLAP）,Universidad de las Américas Puebla (UDLAP),墨西哥,1001-1200,-,-,-
莱昂大学,Universidad de Leon,西班牙,1001-1200,1476,1201,-
波多黎各大学,Universidad de Puerto Rico,波多黎各,1001-1200,-,1201,-
圣安德烈斯大学,Universidad de San Andrés - UdeSA,阿根廷,1001-1200,-,-,-
塔尔卡大学,Universidad de Talca,智利,1001-1200,1563,1501,-
瓦莱大学,Universidad del Valle,哥伦比亚,1001-1200,1752,1501,-
圣地亚哥大学门户网站,University Diego Portales,智利,1001-1200,1072,-,-
ICESI大学,Universidad ICESI,哥伦比亚,1001-1200,-,-,-
乌拉圭大学,Universidad ORT Uruguay,乌拉圭,1001-1200,-,-,-
秘鲁秘鲁卡耶塔诺大学,Universidad Peruana Cayetano Heredia,秘鲁,1001-1200,714,1001,-
玻利瓦尔纳天主教大学,Universidad Pontificia Bolivariana,哥伦比亚,1001-1200,-,1501,-
雷伊·胡安·卡洛斯大学,Universidad Rey Juan Carlos,西班牙,1001-1200,1141,1201,-
加泰罗尼亚理工大学,Polytechnic University of Catalonia,西班牙,392,457,601,801
阿尔加威大学,Universidade do Algarve,葡萄牙,1001-1200,1459,1001,-
Universita' degli St,Universita' degli Studi "G. d'Annunzio" Chieti Pescara,意大利,1001-1200,-,-,-
乌迪内大学研究,Università degli Studi di Udine,意大利,1001-1200,-,-,-
塞贝拉斯马雷特大学,Universitas Sebelas Maret,印度尼西亚,1001-1200,-,1201,-
莱里达大学,Universitat de Lleida,西班牙,1001-1200,1230,801,701
斯法克斯大学,Universite de Sfax,突尼斯,1001-1200,956,1001,-
巴黎索邦大学（巴黎IV）,Université Paris-Sorbonne (Paris IV),法国,1001-1200,-,-,-
图卢兹大学1 Capitole,Université Toulouse 1 Capitole,法国,1001-1200,-,-,301
马来西亚玻璃市大学,Universiti Malaysia Perlis,马来西亚,1001-1200,2140,1501,-
沙巴大学,Universiti Malaysia Sabah (UMS),马来西亚,1001-1200,1573,-,-
建国大学,Konkuk University,韩国,654,1199,501,601
马来西亚敦胡先翁大学,Universiti Tun Hussein Onn Malaysia (UTHM),马来西亚,1001-1200,-,1201,-
阿拉巴马大学伯明翰分校,University of Alabama at Birmingham,美国,1001-1200,170,-,401
阿肯色大学,University of Arkansas,美国,1001-1200,806,501,501
巴拉曼德大学,University of Balamand,黎巴嫩,1001-1200,-,-,-
中央兰开夏大学,University of Central Lancashire,英国,1001-1200,1514,801,901
科伦坡大学,University of Colombo,斯里兰卡,1001-1200,1346,1001,-
丹佛大学,University of Denver,美国,1001-1200,1117,601,-
德乌斯托大学,University of Deusto,西班牙,1001-1200,1845,1001,-
东伦敦大学,University of East London,英国,1001-1200,-,1001,-
赫拉德茨克拉洛夫大学,University of Hradec Kralove,捷克共和国,1001-1200,1259,1001,-
伊巴丹大学,University of Ibadan,尼日利亚,1001-1200,360,1001,-
爱达荷大学,University of Idaho,美国,1001-1200,1291,-,701
约阿尼纳大学,University of Ioannina,希腊,1001-1200,857,1201,-
伊斯法罕大学,University of Isfahan,伊朗,1001-1200,1360,1001,-
卡拉奇大学,University of Karachi,巴基斯坦,1001-1200,1686,1501,-
拉各斯大学,University of Lagos,尼日利亚,1001-1200,326,1001,-
路易斯维尔大学,University of Louisville,美国,1001-1200,667,-,601
密西西比大学,University of Mississippi,美国,1001-1200,432,-,-
密苏里大学堪萨斯城分校,"University of Missouri, Kansas City",美国,1001-1200,681,-,801
穆尔西亚大学,University of Murcia,西班牙,1001-1200,817,1001,501
内罗毕大学,University of Nairobi,肯尼亚,1001-1200,933,1501,-
内华达大学-里诺,University of Nevada - Reno,美国,1001-1200,809,-,601
新英格兰大学,University of New England,澳大利亚,1001-1200,919,-,-
新罕布什尔大学,University of New Hampshire,美国,1001-1200,775,-,601
北卡罗来纳大学夏洛特分校,University of North Carolina at Charlotte,美国,1001-1200,714,601,-
帕尔马大学,University of Parma,意大利,1001-1200,620,601,501
里贾纳大学,University of Regina,加拿大,1001-1200,979,801,801
罗德岛大学,University of Rhode Island,美国,1001-1200,772,801,801
萨兰托大学,University of Salento,意大利,1001-1200,897,801,-
南波西米亚大学,University of South Bohemia,捷克共和国,1001-1200,1060,1001,-
塔布克大学,University of Tabuk,沙特阿拉伯,1001-1200,743,801,-
自由州大学,University of the Free State,南非,1001-1200,974,1001,-
国民大学,Kookmin University,韩国,1001-1200,1987,1201,-
九州工业大学,Kyushu Institute of Technology,日本,1001-1200,1495,1201,-
利兹贝克特大学,Leeds Beckett University,英国,1001-1200,1512,801,-
下诺夫哥罗德国立大学,Lobachevsky State University Nizhni Novgorod,俄国,1001-1200,-,1501,-
罗兹工业大学,Lodz University of Technology,波兰,1001-1200,1555,1201,-
伦敦都会大学,London Metropolitan University,英国,1001-1200,-,601,-
芝加哥洛约拉大学,Loyola University Chicago,美国,1001-1200,908,-,901
建国大学,Bina Nusantara University (BINUS),印度尼西亚,851-900,-,1201,-
利沃夫理工大学,Lviv Polytechnic National University,乌克兰,1001-1200,-,1501,-
马克雷雷大学,Makerere University,乌干达,1001-1200,747,1201,-
曼苏拉大学,Mansoura University,埃及,1001-1200,301,601,601
密西西比州立大学,Mississippi State University,美国,1001-1200,810,601,501
穆斯坦斯里耶大学,Mustansiriyah University,伊拉克,1001-1200,-,1501,-
穆塔大学,Mutah University,约旦,1001-1200,-,1201,-
国家研究萨拉托夫州立大学,National Research Saratov State University,俄国,1001-1200,-,-,-
国立哈尔科夫工业大学,National Technical University "Kharkiv Polytechnic Institute",乌克兰,1001-1200,-,1501,-
罗萨里奥国立大学,National University of Rosario,阿根廷,1001-1200,1759,-,-
尼古拉·哥白尼大学,Nicolaus Copernicus University,波兰,1001-1200,1105,1201,901
新泻大学,Niigata University,日本,1001-1200,1151,1201,-
北亚利桑那大学,Northern Arizona University,美国,1001-1200,578,-,501
卡拉布里亚大学,University of Calabria,意大利,951-1000,864,601,701
奥布达大学,Óbuda University,匈牙利,1001-1200,-,601,-
俄亥俄大学,Ohio University,美国,1001-1200,810,601,701
厄瓜多尔天主教大学（PUCE）,Pontificia Universidad Católica del Ecuador (PUCE),厄瓜多尔,1001-1200,-,1501,-
圣保罗天主教大学,Pontifícia Universidade Católica de São Paulo,巴西,1001-1200,-,-,-
波兹南生命科学大学,Poznan University of Life Sciences,波兰,1001-1200,1677,1201,-
波兹南理工大学,Poznan University of Technology,波兰,1001-1200,1545,1201,-
罗得大学,Rhodes University,南非,1001-1200,1028,-,-
里加斯特拉丁斯大学,Riga Stradins University,拉脱维亚,1001-1200,-,1501,-
S.D.阿斯芬迪亚罗夫哈萨克国立医科大学,S.D. Asfendiyarov Kazakh National Medical University,哈萨克斯坦,1001-1200,-,-,-
圣彼得堡矿业大学,Saint-Petersburg Mining University,俄国,1001-1200,-,601,-
圣地亚哥州立大学,San Diego State University,美国,1001-1200,822,1001,501
首尔科学技术大学,Seoul National University of Science & Technology,韩国,1001-1200,1642,1201,-
谢菲尔德哈勒姆大学,Sheffield Hallam University,英国,1001-1200,1393,801,-
西伯利亚联邦大学,Siberian Federal University,俄国,1001-1200,1563,1001,-
西里西亚工业大学,Silesian University of Technology,波兰,1001-1200,1243,1201,-
斯洛伐克工业大学布拉迪斯拉发,Slovak University of Technology Bratislava,斯洛伐克,1001-1200,1687,1501,-
顺天乡大学,Soonchunhyang University,韩国,1001-1200,2177,1201,-
南方联邦大学,Southern Federal University,俄国,1001-1200,1724,1501,-
南卫理公会大学,Southern Methodist University,美国,1001-1200,877,-,701
西南大学,Southwest University,中国,1001-1200,473,-,501
SRM科学技术学院,SRM Institute of Science and Technology,印度,1001-1200,1072,1001,701
苏美州立大学,Sumy State University,乌克兰,1001-1200,-,801,-
塞切尼伊斯特万大学,Széchenyi István University,匈牙利,1001-1200,-,1501,-
科希策技术大学,Technical University of Kosice,斯洛伐克,1001-1200,1745,-,-
俄斯特拉发技术大学,Technical University of Ostrava,捷克共和国,1001-1200,1499,-,-
电信大学,Telkom University,印度尼西亚,1001-1200,-,1501,-
哈希姆大学,The Hashemite University,约旦,1001-1200,1346,1001,-
德克萨斯大学阿灵顿分校,The University of Texas at Arlington,美国,1001-1200,793,601,701
德克萨斯大学-圣安东尼奥,The University of Texas at San Antonio,美国,1001-1200,625,601,601
夸梅恩克鲁玛科技大学,Kwame Nkrumah University of Science and Technology,加纳,1201-1400,857,1201,-
京都工业大学,Kyoto Institute of Technology,日本,1201-1400,2157,1501,-
拉脱维亚生命科学与技术大学,Latvia University of Life Sciences and Technologies,拉脱维亚,1201-1400,-,1501,-
马凯特大学,Marquette University,美国,1201-1400,1093,-,-
卡伦亚技术与科学研究所,Karunya Institute of Technology & Sciences,印度,-,2164,1201,-
穆罕默德五世大学,Mohammed V University,摩洛哥,1201-1400,810,1201,-
名古屋工业大学,Nagoya Institute of Technology,日本,1201-1400,1953,1201,-
国立勤益科技大学,National Chin-Yi University of Technology,中国台湾,1201-1400,2209,1501,-
国立东华大学,National Dong Hwa University,中国台湾,1201-1400,2022,1501,-
莫斯科国立研究大学动力工程学院 (MPE,National Research University Moscow Power Engineering Institute (MPEI),俄国,1201-1400,-,-,-
国立台湾海洋大学,National Taiwan Ocean University,中国台湾,1201-1400,1784,1201,-
基辅莫希拉国立大学,National University of Kyiv-Mohyla Academy (NaUKMA),乌克兰,1201-1400,-,-,-
新墨西哥州立大学,New Mexico State University,美国,1201-1400,951,801,-
新西伯利亚国立技术大学,Novosibirsk State Technical University,俄国,1201-1400,-,1501,-
奥斯曼尼亚大学,Osmania University,印度,1201-1400,2078,1201,-
Ozyegin大学,Ozyegin University,土耳其,1201-1400,1428,801,-
巴黎南泰大学,Paris Nanterre University,法国,1201-1400,-,1201,-
保罗·瓦莱里大学蒙彼利埃,Paul Valéry University Montpellier,法国,1201-1400,1028,-,-
本地治里大学,Pondicherry University,印度,1201-1400,1959,1201,-
南大河天主教大学,Pontificia Universidade Catolica Do Rio Grande Do Sul,巴西,1201-1400,1125,1001,-
波特兰州立大学,Portland State University,美国,1201-1400,1171,801,-
开放大学,The Open University,英国,-,891,801,701
英国爱丁堡玛格丽特女王大学,"Queen Margaret University , Edinburgh",英国,1201-1400,-,-,-
里约热内卢州立大学,Rio de Janeiro State University,巴西,1201-1400,1171,1501,-
俄罗斯总统国民经济与公共行政学院,Russian Presidential Academy of National Economy and Public Admini,俄国,1201-1400,-,1501,-
圣彼得堡国立电子科技大学,Saint Petersburg Electrotechnical University ETU-LETI,俄国,1201-1400,-,-,-
哈萨克农业大学,Saken Seifullin Kazakh Agrotechnical University,哈萨克斯坦,1201-1400,-,-,-
萨马拉国立研究大学（Samara University）,Samara National Research University (Samara University),俄国,1201-1400,-,1501,-
萨雅巴玛科学技术学院,Sathyabama Institute of Science and Technology,印度,1201-1400,2094,1201,-
西雅图大学,Seattle University,美国,1201-1400,-,-,-
塞尔丘克大学,Selcuk University,土耳其,1201-1400,1468,1001,-
上海外国语大学,Shanghai International Studies University,中国,1201-1400,-,-,-
上海财经大学,Shanghai University of Finance,中国,1201-1400,681,-,901
信州大学,Shinshu University,日本,1201-1400,1296,1201,601
Siksha'O'Anusandhan,Siksha ‘O’ Anusandhan,印度,1201-1400,2037,801,-
斯洛伐克尼特拉农业大学,Slovak University of Agriculture in Nitra,斯洛伐克,1201-1400,1337,1501,-
淑明女子大学,Sookmyung Women's University,韩国,1201-1400,1939,-,-
素罗娜丽科技大学,Suranaree University of Technology,泰国,1201-1400,1667,1201,-
泰巴大学,Taibah University,沙特阿拉伯,1201-1400,727,1001,-
淡江大学,Tamkang University,中国台湾,1201-1400,1267,1501,-
坦塔大学,Tanta University,埃及,1201-1400,493,1001,901
克卢日-纳波卡技术大学,Technical University of Cluj-Napoca,罗马尼亚,1201-1400,1642,1501,-
哥斯达黎加技术中心（TECN）,Tecnológico de Costa Rica -TEC,哥斯达黎加,1201-1400,-,-,-
雅西“Gheorghe Asachi”科技大学,The "Gheorghe Asachi" Technical University of Iasi,罗马尼亚,1201-1400,-,-,-
孟斐斯大学,The University of Memphis,美国,1201-1400,1322,801,-
北安普顿大学,The University of Northampton,英国,1201-1400,-,1201,-
澳大利亚圣母大学,"The University of Notre Dame, Australia",澳大利亚,1201-1400,1592,1201,-
约旦萨勒特拜勒加应用科技大學,Al-Balqa Applied University,约旦,1201-1400,1408,1001,-
阿塔图尔克大学,Ataturk University,土耳其,1201-1400,1079,1001,901
巴哈丁·扎卡里亚大学,Bahauddin Zakariya University,巴基斯坦,1201-1400,926,1001,-
北京外国语大学,Beijing Foreign Studies University,中国,1201-1400,-,-,-
北京中医药大学,Beijing University of Chinese Medicine,中国,1201-1400,1387,-,-
普埃布拉自治大学,Benemérita Universidad Autónoma de Puebla,墨西哥,1201-1400,1365,1501,-
贝尼索夫大学,Beni-Suef University,埃及,1201-1400,676,1001,-
比尔泽特大学,Birzeit university,巴基斯坦,1201-1400,-,-,-
布拉克大学,BRAC University,孟加拉国,1201-1400,-,1001,-
埃及的英国大学,British University in Egypt,埃及,1201-1400,1105,1201,-
布鲁克大学,Brock University,加拿大,1201-1400,1637,-,-
加利福尼亚州立理工大学-圣路易斯·奥比斯波,California Polytechnic State University--San Luis Obispo,美国,1201-1400,1098,-,-
坎特伯雷基督教堂大学,Canterbury Christ Church University,英国,1201-1400,-,1201,-
北方天主教大学,Catholic University of the North,智利,1201-1400,1441,1501,-
长荣大学,Chang Jung Christian University,中国台湾,1201-1400,-,-,-
中国政法大学,China University of Political Science and Law,中国,1201-1400,-,-,-
库库洛娃大学,Cukurova University,土耳其,1201-1400,1372,1501,901
大马士革大学,Damascus University,阿拉伯叙利亚共和国,1201-1400,-,1501,-
度库兹埃路尔大学,Dokuz Eylül Üniversitesi,土耳其,1201-1400,1408,1501,-
同志社大学,Doshisha University,日本,1201-1400,2201,1501,-
巴伊亚联邦大学,Federal University of Bahia,巴西,1201-1400,1151,1501,901
塞阿拉联邦大学,Federal University of Ceara,巴西,1201-1400,1271,1501,901
伯南布哥联邦大学,Federal University of Pernambuco,巴西,1201-1400,1048,1501,901
圣玛丽亚联邦大学,Federal University of Santa Maria,巴西,1201-1400,1230,1201,701
威科萨联邦大学,Federal University of Vicosa,巴西,1201-1400,1425,1501,801
逢甲大学,Feng Chia University,中国台湾,1201-1400,1989,1501,-
弗鲁米嫩塞联邦大学,Universidade Federal Fluminense,巴西,1201-1400,1238,1501,-
辅仁天主教大学,Fu Jen Catholic University,中国台湾,1201-1400,1860,1201,-
开罗德国大学,German University in Cairo,埃及,1201-1400,-,1501,-
群马大学,Gunma University,日本,1201-1400,1821,1501,-
河内科技大学,Hanoi University of Science and Technology,越南,1201-1400,-,1501,-
赫尔万大学,Helwan University,埃及,1201-1400,979,1201,-
伊本·托法尔大学,Ibn Tofaïl University,摩洛哥,1201-1400,-,1201,-
国际基督教大学,International Christian University,日本,1201-1400,-,-,-
国际伊斯兰大学，伊斯兰堡,"International Islamic University, Islamabad",巴基斯坦,1201-1400,951,801,-
伊斯兰阿扎德大学,Islamic Azad University,伊朗,1201-1400,403,-,-
麦地那伊斯兰大学,Islamic University of Madinah,沙特阿拉伯,1201-1400,-,1001,-
伊斯坦布尔艾丁大学,Istanbul Aydin University,土耳其,1201-1400,1354,1501,-
ITESO，瓜达拉哈拉耶稣会大学,"ITESO, Universidad Jesuita de Guadalajara",墨西哥,1201-1400,-,-,-
伊凡·弗兰科利沃夫国立大学,Ivan Franko National University of Lviv,乌克兰,1201-1400,-,1501,-
伊兹密尔理工学院,Izmir Institute of Technology,土耳其,1201-1400,1514,1501,-
让·穆兰大学 - 里昂 3,Jean Moulin University – Lyon 3,法国,1201-1400,-,1501,-
济州国立大学,Jeju National University,韩国,1201-1400,1495,1001,-
鹿儿岛大学,Kagoshima University,日本,1201-1400,1687,1501,-
哈萨克阿布赖汗国际关系与世界语言大学,Kazakh Ablai Khan University of International Relations and World Languages,哈萨克斯坦,1201-1400,-,-,-
哈尔科夫国立无线电电子大学,Kharkiv National University of Radio Electronics,乌克兰,1201-1400,-,1501,-
泰国先皇理工大学,King Mongkut’s Institute of Technology Ladkrabang,泰国,1201-1400,2121,1501,-
科技曼谷北部蒙古特国王大学,King Mongkut's University of Technology North Bangkok,泰国,1201-1400,1188,1201,-
秋明大学,University of Tyumen,俄国,1201-1400,-,-,-
威斯康星大学-密尔沃基,University of Wisconsin - Milwaukee,美国,1201-1400,722,-,801
布加勒斯特大学政治学院,University POLITEHNICA of Bucharest,罗马尼亚,1201-1400,-,-,-
西蒂米什瓦拉大学,West University of Timisoara,罗马尼亚,1201-1400,1249,1201,-
西密歇根大学,Western Michigan University,美国,1201-1400,1545,1201,-
扎加济大学,Zagazig University,埃及,1201-1400,314,1001,701
圣多明各技术学院 (INTEC),Instituto Tecnológico de Santo Domingo (INTEC),多明尼加共和国,1201-1400,-,-,-
敖德萨国立大学,Odessa I.I.Mechnikov National University,乌克兰,1201-1400,-,-,-
厄瓜多尔美洲大学,Universidad de Las Américas Ecuador,厄瓜多尔,1201-1400,-,-,-
长老会麦肯齐大学,Universidade Presbiteriana Mackenzie,巴西,1201-1400,-,-,-
管理技术大学,University of Management and Technology,巴基斯坦,1201-1400,630,801,-
利帕国际大学,Riphah International University,巴基斯坦,1201-1400,-,1001,-
马来西亚吉兰丹大学,Universiti Malaysia Kelantan,马来西亚,1201-1400,-,1501,-
摩苏尔大学,University of Mosul,伊拉克,1201-1400,-,1501,-
