大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,面试,判定状态
"North Carolina State University, Raleigh",PHD,Applied Mathematics,科学学院,College of Sciences,,PhD项目-默认跳过
"North Carolina State University, Raleigh",PHD,Mathematics,科学学院,College of Sciences,,PhD项目-默认跳过
"North Carolina State University, Raleigh",PHD,Computational Mathematics,科学学院,College of Sciences,,PhD项目-默认跳过
"North Carolina State University, Raleigh",PHD,Interdisciplinary Mathematics,科学学院,College of Sciences,,PhD项目-默认跳过
"Pennsylvania State University, University Park",PHD,Mathematics ,科学学院,Eberly College of Science,,PhD项目-默认跳过
Brandeis University,Ph.D,Mathematics,文理研究生院,Graduate School of Arts and Sciences,,PhD项目-默认跳过
Brandeis University,MA/MS,Mathematics,文理研究生院,Graduate School of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of California, Merced",MS,Applied Mathematics,自然科学学院,School of Natural Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of California, Merced",Ph.D.,Applied Mathematics,自然科学学院,School of Natural Sciences,,PhD项目-默认跳过
Rensselaer Polytechnic Institute,Ph.D,Mathematics,科学学院,School of Science,,PhD项目-默认跳过
Rensselaer Polytechnic Institute,Ph.D,Mathematics,科学学院,School of Science,,PhD项目-默认跳过
Rensselaer Polytechnic Institute,MS,Mathematics,科学学院,School of Science,不需要,投票结果-不需要(3票) vs 需要(0票)
Rensselaer Polytechnic Institute,MS,Mathematics,科学学院,School of Science,不需要,投票结果-不需要(3票) vs 需要(0票)
Rensselaer Polytechnic Institute,MS,Applied Mathematics,科学学院,School of Science,不需要,投票结果-不需要(3票) vs 需要(0票)
Rensselaer Polytechnic Institute,MS,Applied Mathematics,科学学院,School of Science,不需要,投票结果-不需要(3票) vs 需要(0票)
Michigan State University,PHD,"Computational Mathematics, Science and Engineering - ",工程学院,College of Natural Science,,PhD项目-默认跳过
Michigan State University,PHD,"Computational Mathematics, Science and Engineering - ",工程学院,College of Natural Science,,PhD项目-默认跳过
Michigan State University,MS,"Computational Mathematics, Science and Engineering - ",工程学院,College of Natural Science,不需要,投票结果-不需要(3票) vs 需要(0票)
Michigan State University,MS,"Computational Mathematics, Science and Engineering - ",工程学院,College of Engineering,不需要,投票结果-不需要(3票) vs 需要(0票)
Michigan State University,PHD,Mathematics - ,自然科学学院,College of Natural Science,,PhD项目-默认跳过
Michigan State University,PHD,Applied Mathematics - ,自然科学学院,College of Natural Science,,PhD项目-默认跳过
Michigan State University,MS,Industrial Mathematics ,自然科学学院,College of Natural Science,不需要,投票结果-不需要(3票) vs 需要(0票)
Michigan State University,MS,Mathematics ,自然科学学院,College of Natural Science,不需要,投票结果-不需要(3票) vs 需要(0票)
Michigan State University,MS,Applied Mathematics ,自然科学学院,College of Natural Science,不需要,投票结果-不需要(3票) vs 需要(0票)
Santa Clara University,MS,Applied Mathematics in Mathematical Finance,工程学院,School of Engineering,不需要,投票结果-不需要(3票) vs 需要(0票)
Santa Clara University,MS,Applied Mathematics in Mathematical Finance,工程学院,School of Engineering,不需要,投票结果-不需要(3票) vs 需要(0票)
Santa Clara University,MS,Applied Mathematics in Mathematical Finance,工程学院,School of Engineering,不需要,投票结果-不需要(3票) vs 需要(0票)
Santa Clara University,MS,Applied Mathematics,工程学院,School of Engineering,不需要,投票结果-不需要(3票) vs 需要(0票)
Santa Clara University,MS,Applied Mathematics,工程学院,School of Engineering,不需要,投票结果-不需要(3票) vs 需要(0票)
Santa Clara University,MS,Applied Mathematics,工程学院,School of Engineering,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Massachusetts, Amherst",MS,Applied Mathematics,自然科学学院,Department of Mathematics and Statistics,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Massachusetts, Amherst",PHD,Mathematics,自然科学学院,College of Natural Sciences,,PhD项目-默认跳过
University of Miami,PHD,Mathematics,文理学院,College of Arts and Sciences,,PhD项目-默认跳过
University of Miami,MS,Mathematics,文理学院,College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Miami,MAT,Mathematics,文理学院,College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Pittsburgh,PHD,Mathematics,文理研究生院,Kenneth P. Dietrich School of Arts and Sciences,,PhD项目-默认跳过
University of Pittsburgh,MA,Mathematics,文理研究生院,Kenneth P. Dietrich School of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Pittsburgh,MS,Mathematics,文理研究生院,Kenneth P. Dietrich School of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
George Washington University,PHD,Mathematics,文理学院,Columbian College of Arts & Sciences,,PhD项目-默认跳过
George Washington University,MA,Mathematics ,文理学院,Columbian College of Arts & Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
George Washington University,MS,Applied Mathematics ,文理学院,Columbian College of Arts and Sciences,不需要,投票结果-不需要(2票) vs 需要(0票)
Villanova University,MA,Master of Arts in Mathematics,文理学院,College of Liberal Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
Villanova University,MA,Master of Arts in Mathematics,文理学院,College of Liberal Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
Villanova University,MA,Mathematics,文理学院,College of Liberal Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
Syracuse University,MS,Mathematics M.S.,文理学院,College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
Syracuse University,PHD,Mathematics Ph.D.,文理学院,College of Arts and Sciences,,PhD项目-默认跳过
Tulane University,MS,Mathematics  ,理工学院,School of Science and Engineering,需要,投票结果-需要(3票) vs 不需要(0票)
Tulane University,MS,Mathematics  ,理工学院,School of Science and Engineering,需要,投票结果-需要(3票) vs 不需要(0票)
Tulane University,PhD,Mathematics  ,理工学院,School of Science and Engineering,,PhD项目-默认跳过
Tulane University,PhD,Mathematics  ,理工学院,School of Science and Engineering,,PhD项目-默认跳过
Tulane University,MS,Applied Mathematics  ,理工学院,School of Science and Engineering,需要,投票结果-需要(3票) vs 不需要(0票)
Tulane University,MS,Applied Mathematics  ,理工学院,School of Science and Engineering,需要,投票结果-需要(3票) vs 不需要(0票)
"Binghamton University, SUNY",PHD,Mathematical Sciences (PHD),文理学院,Department of Mathematics and Statistics,,PhD项目-默认跳过
"Binghamton University, SUNY",PHD,Mathematical Sciences (PHD),文理学院,Department of Mathematics and Statistics,,PhD项目-默认跳过
"Binghamton University, SUNY",MA,Mathematical Sciences (MA),文理学院,Department of Mathematics and Statistics,不需要,投票结果-不需要(3票) vs 需要(0票)
"Binghamton University, SUNY",MA,Mathematical Sciences (MA),文理学院,Department of Mathematics and Statistics,不需要,投票结果-不需要(3票) vs 需要(0票)
"Indiana University, Bloomington",Ph.D.,Mathematical Physics (Physics),文理学院,The College of Arts & Sciences,,PhD项目-默认跳过
"Indiana University, Bloomington",M.A.,Mathematics,文理学院,The College of Arts & Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"Indiana University, Bloomington",Ph.D.,Mathematics,文理学院,College of Arts and Sciences,,PhD项目-默认跳过
"Indiana University, Bloomington",Ph.D.,Mathematical Physics (Mathematics),文理学院,College of Arts + Sciences,,PhD项目-默认跳过
"University of California, Riverside",MA,Mathematics ,自然与农业科学学院,College of Natural and Agricultural Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of California, Riverside",MS,Mathematics ,自然与农业科学学院,College of Natural and Agricultural Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of California, Riverside",MS, Applied Mathematics,自然与农业科学学院,College of Natural and Agricultural Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of California, Riverside",PHD,Mathematics ,自然与农业科学学院,College of Natural and Agricultural Sciences,,PhD项目-默认跳过
Colorado School of Mines,MS, Applied Mathematics and Statistics—COMPUTATIONAL AND APPLIED MATHEMATICS（非论文）,应用数学和统计学系,Department of Applied Mathematics and Statistics,不需要,投票结果-不需要(3票) vs 需要(0票)
Colorado School of Mines,MS, Applied Mathematics and Statistics—COMPUTATIONAL AND APPLIED MATHEMATICS（论文）,应用数学和统计学系,Department of Applied Mathematics and Statistics,不需要,投票结果-不需要(3票) vs 需要(0票)
Colorado School of Mines,MS, Applied Mathematics and Statistics—COMPUTATIONAL AND APPLIED MATHEMATICS（论文）,应用数学和统计学系,Department of Applied Mathematics and Statistics,不需要,投票结果-不需要(3票) vs 需要(0票)
Colorado School of Mines,PHD, Applied Mathematics and Statistics—COMPUTATIONAL AND APPLIED MATHEMATICS,应用数学和统计学系,Department of Applied Mathematics and Statistics,,PhD项目-默认跳过
Colorado School of Mines,PHD, Applied Mathematics and Statistics—COMPUTATIONAL AND APPLIED MATHEMATICS,应用数学和统计学系,Department of Applied Mathematics and Statistics,,PhD项目-默认跳过
Colorado School of Mines,MS, Applied Mathematics and Statistics—STATISTICS（非论文）,应用数学和统计学系,Department of Applied Mathematics and Statistics,不需要,投票结果-不需要(3票) vs 需要(0票)
Colorado School of Mines,MS, Applied Mathematics and Statistics—STATISTICS（论文）,应用数学和统计学系,Colorado School of Mines,不需要,投票结果-不需要(3票) vs 需要(0票)
Colorado School of Mines,MS, Applied Mathematics and Statistics—STATISTICS（论文）,应用数学和统计学系,Department of Applied Mathematics and Statistics,不需要,投票结果-不需要(3票) vs 需要(0票)
Colorado School of Mines,PHD, Applied Mathematics and Statistics—STATISTICS,应用数学和统计学系,Department of Applied Mathematics and Statistics,,PhD项目-默认跳过
Colorado School of Mines,PHD, Applied Mathematics and Statistics—STATISTICS,应用数学和统计学系,Department of Applied Mathematics and Statistics,,PhD项目-默认跳过
Colorado School of Mines,MS, Applied Mathematics and Statistics—DATA SCIENCE（非论文）,应用数学和统计学系,Department of Applied Mathematics and Statistics,不需要,投票结果-不需要(3票) vs 需要(0票)
"University at Buffalo, SUNY",MS,Natural Science-Interdisciplinary MS,文理学院,College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"University at Buffalo, SUNY",MA,Mathematics MA,文理学院,College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"University at Buffalo, SUNY",MA,Mathematics MA,文理学院,College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"University at Buffalo, SUNY",MS,Master of Science (MS)   in Computational and Applied Mathematics,文理学院,College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"University at Buffalo, SUNY",PhD,Mathematics PhD,文理学院,College of Arts and Sciences,,PhD项目-默认跳过
"University at Buffalo, SUNY",PhD,Mathematics PhD,文理学院,College of Arts and Sciences,,PhD项目-默认跳过
Stevens Institute of Technology,PHD,"MATHEMATICS, M.S.",工程与科学学院,Charles V. Schaefer,,PhD项目-默认跳过
Stevens Institute of Technology,PHD,"MATHEMATICS, M.S.",工程与科学学院,Charles V. Schaefer,,PhD项目-默认跳过
Stevens Institute of Technology,MS,"MATHEMATICS, M.S.",工程与科学学院,Charles V. Schaefer,不需要,投票结果-不需要(3票) vs 需要(0票)
Stevens Institute of Technology,MS,"MATHEMATICS, M.S.",工程与科学学院,Charles V. Schaefer,不需要,投票结果-不需要(3票) vs 需要(0票)
Stevens Institute of Technology,MS,"MATHEMATICS, M.S.",工程与科学学院,Charles V. Schaefer,不需要,投票结果-不需要(3票) vs 需要(0票)
Stevens Institute of Technology,MS,"ACTUARIAL MATHEMATICS AND QUANTITATIVE RISK, M.S.",工程与科学学院,Charles V. Schaefer,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Delaware,PhD ,Mathematics,文理学院,College of Arts and Sciences,,PhD项目-默认跳过
University of Delaware,PhD ,Mathematics,文理学院,College of Arts and Sciences,,PhD项目-默认跳过
University of Delaware,MS ,Mathematics,文理学院,College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Delaware,MS ,Mathematics,文理学院,College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Delaware,PhD ,Applied Mathematics,文理学院,College of Arts and Sciences,,PhD项目-默认跳过
University of Delaware,PhD ,Applied Mathematics,文理学院,College of Arts & Sciences,,PhD项目-默认跳过
University of Delaware,MS,Applied Mathematics,文理学院,College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Delaware,MS,Applied Mathematics,文理学院,College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of California, Santa Cruz",M.S,Applied mathematics,工程部,Baskin Engineering,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of California, Santa Cruz",Ph.D.,Applied mathematics,工程部,Baskin School of Engineering,,PhD项目-默认跳过
"University of California, Santa Cruz",M.S,Scientific Computing & Applied thetics,工程部,Jack Baskin School of Engineering,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of California, Santa Cruz",M.A,thetics,物理与生物科学部,Division of Physical & Biological Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of California, Santa Cruz",Ph.D.,thetics,物理与生物科学部,The Division of Graduate Studies,,PhD项目-默认跳过
"Rutgers University, Newark",PHD,Mathematical Sciences (PHD) Newark,研究生院,School of Arts and Sciences–Newark,,PhD项目-默认跳过
Worcester Polytechnic Institute,MS,Applied Mathematics,文理学院,Mathematical Sciences Department,不需要,投票结果-不需要(3票) vs 需要(0票)
Worcester Polytechnic Institute,MS,Applied Mathematics,文理学院,Mathematical Sciences Department,不需要,投票结果-不需要(3票) vs 需要(0票)
Worcester Polytechnic Institute,MS,Industrial Mathematics,文理学院,Mathematical Sciences Department,不需要,投票结果-不需要(2票) vs 需要(1票)
Worcester Polytechnic Institute,MS,Industrial Mathematics,文理学院,Mathematical Sciences,不需要,投票结果-不需要(2票) vs 需要(1票)
Worcester Polytechnic Institute,PHD,Mathematical Sciences,文理学院,,,PhD项目-默认跳过
Worcester Polytechnic Institute,PHD,Mathematical Sciences,文理学院,Mathematical Sciences Department,,PhD项目-默认跳过
"University of Illinois, Chicago",MS,MS – Pure Mathematics,文理学院,College of Liberal Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Illinois, Chicago",MS,MS – Pure Mathematics,文理学院,College of Liberal Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Illinois, Chicago",MS,MS – Pure Mathematics,文理学院,College of Liberal Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Illinois, Chicago",MS,MS – Applied Mathematics,文理学院,College of Liberal Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Illinois, Chicago",MS,MS – Applied Mathematics,文理学院,College of Liberal Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Illinois, Chicago",MS,MS – Applied Mathematics,文理学院,College of Liberal Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Illinois, Chicago",MS,MS – Mathematical Computer Science,文理学院,College of Liberal Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Illinois, Chicago",MS,MS – Mathematical Computer Science,文理学院,College of Liberal Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Illinois, Chicago",MS,MS – Mathematical Computer Science,文理学院,College of Liberal Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Illinois, Chicago",PhD,Mathematics,文理学院,College of Liberal Arts and Sciences,,PhD项目-默认跳过
Clemson University,MS,Mathematical Sciences,理学院,School of Mathematical and Statistical Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
Clemson University,MS,Mathematical Sciences,理学院,School of Mathematical and Statistical Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
Clemson University,PhD,Mathematical Sciences,理学院,College of Science,,PhD项目-默认跳过
Clemson University,PhD,Mathematical Sciences,理学院,School of Mathematical and Statistical Sciences,,PhD项目-默认跳过
Marquette University,MS,Computational Mathematical and Statistical Sciences  ,文理学院,Helen Way Klingler College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
Marquette University,PHD,Computational Mathematical and Statistical Sciences  ,文理学院,Helen Way Klingler College of Arts and Sciences,,PhD项目-默认跳过
New Jersey Institute of Technology,M.S.,Applied Mathematics - M.S.,科学与人文学院,Department of Mathematical Sciences,不需要,投票结果-不需要(2票) vs 需要(0票)
New Jersey Institute of Technology,PhD,Applied Mathematics Track,科学与人文学院,Jordan Hu College of Science and Liberal Arts,,PhD项目-默认跳过
New Jersey Institute of Technology,PhD,Pure Mathematics Track,科学与人文学院,Jordan Hu College of Science and Liberal Arts,,PhD项目-默认跳过
University of South Florida,PhD,Mathematics,文理学院,College of Arts and Sciences,,PhD项目-默认跳过
University of South Florida,PhD,Mathematics,文理学院,College of Arts and Sciences,,PhD项目-默认跳过
University of South Florida,PhD,Mathematics：Pure and Applied,文理学院,College of Arts and Sciences,,PhD项目-默认跳过
University of South Florida,PhD,Mathematics：Pure and Applied,文理学院,College of Arts and Sciences,,PhD项目-默认跳过
University of South Florida,PhD,Mathematics：Statistics,文理学院,College of Arts and Sciences,,PhD项目-默认跳过
University of South Florida,PhD,Mathematics：Statistics,文理学院,College of Arts and Sciences,,PhD项目-默认跳过
University of South Florida,MA,Mathematics,文理学院,College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
University of South Florida,MA,Mathematics,文理学院,College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
University of South Florida,MA,Applied Mathematics,文理学院,College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
University of South Florida,MA,Applied Mathematics,文理学院,College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
Southern Methodist University,PHD,computational and applied mathematics,人文与科学学院,Dedman College of Humanities and Sciences,,PhD项目-默认跳过
Southern Methodist University,MS,computational and applied mathematics,人文与科学学院,Dedman College of Humanities and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
Temple University,PhD,Mathematics PhD,科学技术学院,College of Science and Technology,,PhD项目-默认跳过
Temple University,MS,Mathematics MS,科学技术学院,,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Iowa,MS, Mathematics,文理学院,College of Liberal Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Iowa,Ph.D, Mathematics,文理学院,College of Liberal Arts and Sciences,,PhD项目-默认跳过
University of Iowa,MS, Mathematics,文理学院,College of Liberal Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Iowa,Ph.D, Mathematics,文理学院,College of Liberal Arts and Sciences,,PhD项目-默认跳过
University of Iowa,Ph.D,Applied Mathematical & Computational Sciences,文理学院,Graduate College,,PhD项目-默认跳过
Auburn University,MAM,Applied Mathematics,科学与数学学院,College of Sciences and Mathematics,不需要,投票结果-不需要(3票) vs 需要(0票)
Auburn University,MS,Mathematics,科学与数学学院,College of Sciences and Mathematics,不需要,投票结果-不需要(3票) vs 需要(0票)
Auburn University,PhD,Mathematics,科学与数学学院,College of Sciences and Mathematics,,PhD项目-默认跳过
Auburn University,PhD,Doctor of Philosophy in Mathematics with Concentration in Statistics,科学与数学学院,College of Sciences and Mathematics,,PhD项目-默认跳过
Baylor University,Ph.D.,Mathematics ,文理学院,College of Arts & Sciences,,PhD项目-默认跳过
Texas Christian University,MS,Mathematics,理工学院,College of Science & Engineering,需要,投票结果-需要(2票) vs 不需要(1票)
Texas Christian University,MS,Mathematics,理工学院,College of Science & Engineering,需要,投票结果-需要(3票) vs 不需要(0票)
Texas Christian University,MAT,Mathematics,理工学院,College of Science & Engineering,需要,投票结果-需要(2票) vs 不需要(0票)
Texas Christian University,MAT,Mathematics,理工学院,College of Science & Engineering,需要,投票结果-需要(3票) vs 不需要(0票)
Texas Christian University,Ph.D,Mathematics,理工学院,College of Science & Engineering,,PhD项目-默认跳过
Texas Christian University,Ph.D,Mathematics,理工学院,College of Science & Engineering,,PhD项目-默认跳过
Drexel University,MS,Mathematics,文理学院,College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
Drexel University,PhD,Mathematics,文理学院,College of Arts and Sciences,,PhD项目-默认跳过
University of Oregon,PhD,Mathematics,文理学院,College of Arts and Sciences,,PhD项目-默认跳过
"Rutgers University, Camden",M.B.S.,BUSINESS & SCIENCE M.B.S.,文理研究生院,Graduate School of Arts and Sciences,不需要,投票结果-不需要(2票) vs 需要(0票)
"Rutgers University, Camden",M.S.,MATHEMATICAL SCIENCES M.S.,文理研究生院,Graduate School of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
Rochester Institute of Technology,MS,Applied and Computational Mathematics MS ,数学与统计学院,School of Mathematics and Statistics,不需要,投票结果-不需要(3票) vs 需要(0票)
Rochester Institute of Technology,Ph.D.,Mathematical Modeling Ph.D. ,数学与统计学院,School of Mathematics and Statistics,,PhD项目-默认跳过
Illinois Institute of Technology,M.A.S,Applied Mathematics (M.A.S.),计算机学院,College of Computing,不需要,投票结果-不需要(3票) vs 需要(0票)
Illinois Institute of Technology,M.S.,Applied Mathematics (M.S.),计算机学院,College of Computing,不需要,投票结果-不需要(3票) vs 需要(0票)
Illinois Institute of Technology,Ph.D.,Applied Mathematics (Ph.D.),计算机学院,College of Computing,,PhD项目-默认跳过
Saint Louis University,MA,Master of Arts in Mathematics,文理学院,College of Arts and Sciences,不需要,投票结果-不需要(2票) vs 需要(1票)
Saint Louis University,MA,Master of Arts in Mathematics,文理学院,College of Arts and Sciences,不需要,投票结果-不需要(2票) vs 需要(1票)
Saint Louis University,PhD,Doctor of Philosophy in Mathematics ,文理学院,College of Arts and Sciences,,PhD项目-默认跳过
Saint Louis University,PhD,Doctor of Philosophy in Mathematics ,文理学院,College of Arts and Sciences,,PhD项目-默认跳过
"University of Colorado, Boulder",MS,Applied Math,工程与应用科学学院,College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Colorado, Boulder",MS,Applied Math,工程与应用科学学院,College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Colorado, Boulder",PHD,Applied Math,工程与应用科学学院,College of Arts and Sciences,,PhD项目-默认跳过
"University of Colorado, Boulder",Ph.D,Mathematics,文理学院,College of Arts and Sciences,,PhD项目-默认跳过
"University of Colorado, Boulder",MA,Mathematics,文理学院,College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Colorado, Boulder",MS,Mathematics,文理学院,College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
American University,MS,Mathematics of Info & Security MS,文理学院,College of Arts & Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
American University,MS,Mathematics of Info & Security MS,文理学院,College of Arts & Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
Yeshiva University,MA,Mathematics (MA),科学与卫生学院,The Katz School of Science and Health,不需要,投票结果-不需要(3票) vs 需要(0票)
Yeshiva University,Ph.D,Mathematical Sciences (PhD),科学与卫生学院,The Katz School of Science and Health,,PhD项目-默认跳过
Yeshiva University,MA,Mathematics (MA),科学与卫生学院,The Katz School of Science and Health,不需要,投票结果-不需要(3票) vs 需要(0票)
Yeshiva University,Ph.D,Mathematical Sciences (PhD),科学与卫生学院,The Katz School of Science and Health,,PhD项目-默认跳过
University of Arizona,MA,Mathematics,理学院,The Department of Mathematics,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Arizona,MS,Mathematics,理学院,The Department of Mathematics,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Arizona,PHD,Mathematics,理学院,The Department of Mathematics,,PhD项目-默认跳过
University of Arizona,MS,Applied Mathematics (MS),研究生院跨学科课程,The Graduate College,需要,投票结果-需要(2票) vs 不需要(1票)
University of Arizona,PHD,Applied Mathematics (PHD),研究生院跨学科课程,Department of Mathematics,,PhD项目-默认跳过
University of Utah,MA,"Mathematics, M.A.",理学院,College of Science,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Utah,MS,"Mathematics, M.S.",理学院,College of Science,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Utah,Ph.D.,"Mathematics, Ph.D.",理学院,College of Science,,PhD项目-默认跳过
University of Utah,M.Stat.,"Mathematics, M.Stat.",理学院,College of Science,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Utah,MA,"Mathematics, M.A.",理学院,College of Science,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Utah,MS,"Mathematics, M.S.",理学院,College of Science,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Utah,Ph.D.,"Mathematics, Ph.D.",理学院,College of Science,,PhD项目-默认跳过
University of Utah,M.Stat.,"Mathematics, M.Stat.",理学院,College of Science,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Utah,MA,"Mathematics, M.A.",理学院,College of Science,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Utah,MS,"Mathematics, M.S.",理学院,College of Science,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Utah,Ph.D.,"Mathematics, Ph.D.",理学院,College of Science,,PhD项目-默认跳过
University of Utah,M.Stat.,"Mathematics, M.Stat.",理学院,Department of Mathematics,不需要,投票结果-不需要(3票) vs 需要(0票)
Howard University,PHD,Mathematics,文理学院,The Graduate School,,PhD项目-默认跳过
Howard University,PHD,Mathematics,文理学院,The Graduate School,,PhD项目-默认跳过
"Brigham Young University, Provo",MS,Mathematics (MS),科学学院,Department of Mathematics,不需要,投票结果-不需要(3票) vs 需要(0票)
"Brigham Young University, Provo",MS,Mathematics (MS),科学学院,College of Computational,不需要,投票结果-不需要(2票) vs 需要(0票)
"Brigham Young University, Provo",MS,Mathematics (MS),科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票)
"Brigham Young University, Provo",MS,Mathematics (MS),科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票)
"Brigham Young University, Provo",PHD,Mathematics (PhD),科学学院,Department of Mathematics,,PhD项目-默认跳过
"Brigham Young University, Provo",PHD,Mathematics (PhD),科学学院,Department of Mathematics,,PhD项目-默认跳过
"Brigham Young University, Provo",PHD,Mathematics (PhD),科学学院,Department of Mathematics,,PhD项目-默认跳过
"Brigham Young University, Provo",PHD,Mathematics (PhD),科学学院,Department of Mathematics,,PhD项目-默认跳过
University of Denver,PhD,Mathematics,自然科学与数学学院,College of Natural Sciences and Mathematics,,PhD项目-默认跳过
University of Denver,MS,Mathematics,自然科学与数学学院,College of Natural Sciences and Mathematics,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Denver,MA,Mathematics,自然科学与数学学院,College of Natural Sciences and Mathematics,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Denver,PhD,Mathematics,自然科学与数学学院,College of Natural Sciences and Mathematics,,PhD项目-默认跳过
University of Denver,MS,Mathematics,自然科学与数学学院,College of Natural Sciences and Mathematics,不需要,投票结果-不需要(1票) vs 需要(0票)
University of Denver,MA,Mathematics,自然科学与数学学院,College of Natural Sciences and Mathematics,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Vermont,PHD,Mathematical Sciences ,工程与数学科学学院,College of Engineering and Mathematical Sciences,,PhD项目-默认跳过
University of Vermont,MST,Mathematics ,工程与数学科学学院,College of Engineering and Mathematical Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Vermont,MS,Mathematics ,工程与数学科学学院,College of Engineering and Mathematical Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Vermont,PHD,Mathematical Sciences ,工程与数学科学学院,College of Engineering and Mathematical Sciences,,PhD项目-默认跳过
University of Vermont,MST,Mathematics ,工程与数学科学学院,College of Engineering and Mathematical Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Vermont,MS,Mathematics ,工程与数学科学学院,College of Engineering and Mathematical Sciences,不需要,投票结果-不需要(2票) vs 需要(1票)
