大学排名,大学名称,大学英文名称,所在城市,专业中文名称,学位,专业英文名称,所属院系,专业领域,课程长度,申请费（美元),开学期,截止日期,GPA,托福,雅思,GRE,GMAT,学术背景,材料要求,招生网址,专业网址
35,加州大学圣塔芭芭拉分校,"University of California, Santa Barbara","Santa Barbara, CA",统计-数据科学,MA,Statistics-Data Science,文理学院,将现代统计方法与处理大数据的计算方法相结合。核心统计学课程是培养对统计学的深刻概念理解的必要条件。基于这些，本课程帮助学生准备好利用最新的软件工具分析大数据集。,,$155 ,冬季,10月18日,3,80,7,不要求,不接受,申请人必须持有统计学，数学或其他强大的数量领域的学士学位，申请前与学校确认是否有开学期,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://www.graddiv.ucsb.edu/graduate-programs/departments/statistics,https://www.pstat.ucsb.edu/graduate/ma
35,加州大学圣塔芭芭拉分校,"University of California, Santa Barbara","Santa Barbara, CA",统计-数据科学,MA,Statistics-Data Science,文理学院,将现代统计方法与处理大数据的计算方法相结合。核心统计学课程是培养对统计学的深刻概念理解的必要条件。基于这些，本课程帮助学生准备好利用最新的软件工具分析大数据集。,,$155 ,春季,1月10日,3,80,7,不要求,不接受,申请人必须持有统计学，数学或其他强大的数量领域的学士学位，申请前与学校确认是否有开学期,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://www.graddiv.ucsb.edu/graduate-programs/departments/statistics,https://www.pstat.ucsb.edu/graduate/ma
35,纽约大学,New York University,"New York, NY",数据科学,Ph.D,Data Science ,文理研究生院,CDS 博士课程模型严格培训未来的数据科学家，他们 (1) 开发方法并利用统计工具来寻找超越传统学科界限的问题的答案；(2) 清晰的沟通，从大的、异构的、不确定的数据中提取清晰的问题；(3) 有效地将基础研究见解转化为科学、医学、工业和政府领域的数据科学实践；(4) 了解其工作的伦理含义。,,$130 ,秋季,12月5日,要求,100(首选托福),7,不要求,不接受,欢迎具有相关本科/硕士学位的候选人和具有数据科学工作或研究经验的候选人的申请。相关学位包括数学、统计学、计算机科学、工程学和其他培养使用数据进行推理或进行预测的技能的科学学科。需要在微积分、概率、统计学和编程方面的课程作业或同等经验。,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://gsas.nyu.edu/admissions/arc/programs/data-science.html,https://cds.nyu.edu/phd-curriculum/
35,纽约大学,New York University,"New York, NY",数据科学,MS,Data Science ,文理研究生院,大数据；数学和数据；自然语言处理,,$130 ,秋季,1月22日,要求,100(首选托福),7,可选,不接受,面向具有强大数学、计算机科学和应用统计学背景的学生,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://gsas.nyu.edu/admissions/arc/programs/data-science.html,https://cds.nyu.edu/masters-in-data-science-curriculum/
35,纽约大学,New York University,"New York, NY",数据科学（Industry Concentration）,MS,Data Science （Industry Concentration）,文理研究生院,大数据 • 自然语言处理 （NLP）,,$130 ,秋季,1月22日,要求,100(首选托福),7,可选,不接受,面向具有强大数学、计算机科学和应用统计学背景的学生,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://gsas.nyu.edu/admissions/arc/programs/data-science.html,https://cds.nyu.edu/masters-in-data-science-industry-concentration/
35,纽约大学,New York University,"New York, NY",数据分析和商业计算,MS,MS in Data Analytics & Business Computing,商学院,学生将学习如何使用数据驱动的方法来解决大数据时代的业务挑战。凭借商业分析的跨学科性质，我们的课程在商业（金融、营销、收入管理、运营）、数据科学（统计学、计量经济学、数据挖掘、数据可视化）和管理科学（优化、随机建模、模拟）方面提供广泛而严格的课程。,1年,$120 ,夏季,10月15日；12月15日；1月31日,要求，过往均分3.6 ,100,7,强烈建议,强烈建议,,ESSAY；transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations,https://stern.shanghai.nyu.edu/en/admissions/ms-data-analytics-and-business-computing/application-checklist,https://stern.shanghai.nyu.edu/en/program/ms-data-analytics-business-computing
35,威斯康辛大学麦迪逊分校,"University of Wisconsin, Madison","Madison, WI",数据工程,M.S.,MS – Data Engineering,文理学院,数据工程硕士课程侧重于大规模管理数据的原则和实践。它强调有效和高效地收集、存储、管理和处理数据集，以支持对数据科学和数据分析功能至关重要的计算和数据驱动系统。,,$81 ,秋季,2月15日,3,92，80-91可能会被录取，但需要入学后参加英语测试并参加课前语言课程,7.0，6.5可能会被录取，但需要入学后参加英语测试并参加课前语言课程,不要求,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://guide.wisc.edu/graduate/computer-sciences/data-engineering-ms/#admissionstext,https://www.cs.wisc.edu/our-graduate-degrees-programs/
35,威斯康辛大学麦迪逊分校,"University of Wisconsin, Madison","Madison, WI",统计和数据科学,MS,Statistics and Data Science,文理学院,,,$81 ,秋季,3月1日,3,92，80-91可能会被录取，但需要入学后参加英语测试并参加课前语言课程,7.0，6.5可能会被录取，但需要入学后参加英语测试并参加课前语言课程,不要求,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://guide.wisc.edu/graduate/statistics/statistics-ms/statistics-statistics-data-science-ms/#admissionstext,https://stat.wisc.edu/graduate-admissions/data-science-option/
35,威斯康辛大学麦迪逊分校,"University of Wisconsin, Madison","Madison, WI",统计和数据科学,MS,Statistics and Data Science,文理学院,,,$81 ,秋季,10月15日,3,92，80-91可能会被录取，但需要入学后参加英语测试并参加课前语言课程,7.0，6.5可能会被录取，但需要入学后参加英语测试并参加课前语言课程,不要求,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://guide.wisc.edu/graduate/statistics/statistics-ms/statistics-statistics-data-science-ms/#admissionstext,https://stat.wisc.edu/graduate-admissions/data-science-option/
35,威斯康辛大学麦迪逊分校,"University of Wisconsin, Madison","Madison, WI",数据科学,MS,Data Science,文理学院,,,$81 ,秋季,2月15日,3,92，80-91可能会被录取，但需要入学后参加英语测试并参加课前语言课程,7.0，6.5可能会被录取，但需要入学后参加英语测试并参加课前语言课程,不要求,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://guide.wisc.edu/graduate/statistics/data-science-ms/#admissionstext,https://stat.wisc.edu/graduate-admissions/ms-datascience/
35,伊利诺伊大学厄本那-香槟分校,"University of Illinois, Urbana-Champaign","Champaign, IL",数据科学 + CEE,MS,Data Science + CEE M.S.,工程学院,数据科学 + 土木与环境工程非论文硕士课程强调数据科学，包括平衡数据科学方法和来自不同 CEE 研究领域的学科内容的课程。该课程的目标是为学生提供数据科学和土木工程技术领域的综合研究生水平专业知识。,2年,$90 ,秋季,1月1日；2月15日,3,79，低于103入学需参加EPT考试,6.5，低于7.5入学需参加EPT考试,可选，但强烈建议提交，过往均分V155+Q165+4.0,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://cee.illinois.edu/admissions/graduate/admission-requirements-and-process,https://cee.illinois.edu/academics/graduate-programs/ms-degree-and-curriculum
35,伊利诺伊大学厄本那-香槟分校,"University of Illinois, Urbana-Champaign","Champaign, IL",数据科学 + CEE,MS,Data Science + CEE M.S.,工程学院,数据科学 + 土木与环境工程非论文硕士课程强调数据科学，包括平衡数据科学方法和来自不同 CEE 研究领域的学科内容的课程。该课程的目标是为学生提供数据科学和土木工程技术领域的综合研究生水平专业知识。,2年,$90 ,春季,9月1日；10月1日,3,79，低于103入学需参加EPT考试,6.5，低于7.5入学需参加EPT考试,可选，但强烈建议提交，过往均分V155+Q165+4.0,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://cee.illinois.edu/admissions/graduate/admission-requirements-and-process,https://cee.illinois.edu/academics/graduate-programs/ms-degree-and-curriculum
35,伊利诺伊大学厄本那-香槟分校,"University of Illinois, Urbana-Champaign","Champaign, IL",工业工程-高级分析方向,MS,MS in Industrial Engineering with the Advanced Analytics Concentration,工程学院,,,$90 ,春季,9月15日,3,79，低于103入学需参加EPT考试,6.5，低于7.5入学需参加EPT考试,强烈推荐，过往均分V155+Q167+3.5,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://ise.illinois.edu/graduate/admissions/international-applicants,https://ise.illinois.edu/graduate/degrees-and-programs/advanced-analytics-concentration
35,伊利诺伊大学厄本那-香槟分校,"University of Illinois, Urbana-Champaign","Champaign, IL",工业工程-高级分析方向,MS,MS in Industrial Engineering with the Advanced Analytics Concentration,工程学院,,,$90 ,秋季,1月15日,3,79，低于103入学需参加EPT考试,6.5，低于7.5入学需参加EPT考试,强烈推荐，过往均分V155+Q167+3.5,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://ise.illinois.edu/graduate/admissions/international-applicants,https://ise.illinois.edu/graduate/degrees-and-programs/advanced-analytics-concentration
35,伊利诺伊大学厄本那-香槟分校,"University of Illinois, Urbana-Champaign","Champaign, IL",数据科学与工程（DSE）,,Data Science & Engineering (DSE),工程学院,"非学位项目。通过以下学位项目，可以申请数据科学与工程的课程学习:航空航天工程，博士
农业与生物工程，博士
生物工程，博士
土木工程，博士
计算机科学，博士
电气与计算机工程博士
工业工程，博士
材料科学与工程，博士
机械工程，博士
核、等离子体和放射工程博士
物理学，博士
统计学，博士",,$90 ,,,,,,,,,,,https://cse.illinois.edu/cse-educational-programs/dse-graduate-concentration/
35,伊利诺伊大学厄本那-香槟分校,"University of Illinois, Urbana-Champaign","Champaign, IL",信息管理硕士,MS,MS in Information Management,信息科学学院,数据科学与分析；知识管理和信息咨询,,$90 ,秋季,11月15日；1月31日,3,79，低于103入学需参加EPT考试,6.5，低于7.5入学需参加EPT考试,可选,可选,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://ischool.illinois.edu/degrees-programs/graduate/ms-information-management/apply,https://ischool.illinois.edu/degrees-programs/graduate/ms-information-management
35,伊利诺伊大学厄本那-香槟分校,"University of Illinois, Urbana-Champaign","Champaign, IL",信息管理硕士,MS,MS in Information Management,信息科学学院,艺术与文化信息学；生物信息学；认知科学与语言处理；数据分析和信息可视化；设计、技术与社会；健康与医学信息学；空间信息学,,$90 ,秋季,11月15日；1月31日,3,79，低于103入学需参加EPT考试,6.5，低于7.5入学需参加EPT考试,可选,可选,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://ischool.illinois.edu/degrees-programs/graduate/ms-information-management/apply,https://ischool.illinois.edu/degrees-programs/graduate/ms-information-management
35,伊利诺伊大学厄本那-香槟分校,"University of Illinois, Urbana-Champaign","Champaign, IL",统计分析,MS,statistics-analytics,文理学院,分析理学硕士课程将传统统计学硕士的数学和统计培训与信息密集型行业或研究规划职业的增强型计算和数据分析培训相结合。该计划包括数学和应用统计学的基础培训，以及使用大型数据集和数据库进行数据管理、分析和模型构建的专业培训。专业课程侧重于统计计算、数据管理和统计学习，其中包含更多属于数据挖掘更广泛标题的统计主题。作为该计划的一部分，我们鼓励学生在商业或咨询环境中获得经验。,,$70 ,秋季,4月1日,3,79，低于103入学需参加EPT考试,6.5，低于7.5入学需参加EPT考试,25年可选,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://stat.illinois.edu/admissions/prospective-graduate-students/application-requirements,https://stat.illinois.edu/academics/graduate-programs/ms-statistics-analytics
35,伊利诺伊大学厄本那-香槟分校,"University of Illinois, Urbana-Champaign","Champaign, IL",统计分析,MS,statistics-analytics,文理学院,分析理学硕士课程将传统统计学硕士的数学和统计培训与信息密集型行业或研究规划职业的增强型计算和数据分析培训相结合。该计划包括数学和应用统计学的基础培训，以及使用大型数据集和数据库进行数据管理、分析和模型构建的专业培训。专业课程侧重于统计计算、数据管理和统计学习，其中包含更多属于数据挖掘更广泛标题的统计主题。作为该计划的一部分，我们鼓励学生在商业或咨询环境中获得经验。,,$70 ,春季,9月15日,3,79，低于103入学需参加EPT考试,6.5，低于7.5入学需参加EPT考试,25年可选,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://stat.illinois.edu/admissions/prospective-graduate-students/application-requirements,https://stat.illinois.edu/academics/graduate-programs/ms-statistics-analytics
39,波士顿学院,Boston College,"Chestnut Hill, MA",应用分析理学硕士 (MS),MS,Master of Science (M.S.) in Applied Analytics,高级研究学院,课程涵盖基于道德的机器学习、人工智能等方法。我们的课程强调课程作业和学术研究的实际应用。,12个月,$60 ,秋季,5月1日；6月15日 ,要求,90-100,6.5-7.5,强烈建议,强烈建议,属于继续教育学院的晚间授课，同时接受全日制国际学生的申请,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://www.bc.edu/content/bc-web/schools/wcas/graduate/masters-programs/ms-applied-analytics.html,https://www.bc.edu/content/bc-web/schools/wcas/graduate/masters-programs/ms-applied-analytics.html
39,波士顿学院,Boston College,"Chestnut Hill, MA",应用分析理学硕士 (MS),MS,Master of Science (M.S.) in Applied Analytics,高级研究学院,课程涵盖基于道德的机器学习、人工智能等方法。我们的课程强调课程作业和学术研究的实际应用。,12个月,$60 ,春季,10 月 15 日,要求,90-100,6.5-7.5,强烈建议,强烈建议,属于继续教育学院的晚间授课，同时接受全日制国际学生的申请,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://www.bc.edu/content/bc-web/schools/wcas/graduate/masters-programs/ms-applied-analytics.html,https://www.bc.edu/content/bc-web/schools/wcas/graduate/masters-programs/ms-applied-analytics.html
39,波士顿学院,Boston College,"Chestnut Hill, MA",应用分析理学硕士 (MS),MS,Master of Science (M.S.) in Applied Analytics,高级研究学院,课程涵盖基于道德的机器学习、人工智能等方法。我们的课程强调课程作业和学术研究的实际应用。,12个月,$60 ,夏季,3月1日,要求,90-100,6.5-7.5,强烈建议,强烈建议,属于继续教育学院的晚间授课，同时接受全日制国际学生的申请,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://www.bc.edu/content/bc-web/schools/wcas/graduate/masters-programs/ms-applied-analytics.html,https://www.bc.edu/content/bc-web/schools/wcas/graduate/masters-programs/ms-applied-analytics.html
40,华盛顿大学,University of Washington,"Seattle, WA",数据科学 - 跨学科小组（数据科学硕士） ,MS,Data Science - Interdisciplinary Group (MS in Data Science) ,文理学院,统计建模、数据管理、机器学习、数据可视化、软件工程、研究设计、数据伦理和用户体验,1.5 年,$90 ,秋季,1月5日,3,106，小分不低于25,7.5,不要求,不接受,申请人需要提供计算机科学和数学的先决条件技能的证明,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-R-DATA-00-26,https://www.washington.edu/datasciencemasters/
40,华盛顿大学,University of Washington,"Seattle, WA",数学（博士）-数据科学选项,PHD,Mathematics (PhD) —Data Science Option,文理学院,,,$90 ,秋季,12 月11 日,3,92，低于92高于80需参加语言课程,7.0，低于7.0高于6.5需参加语言课程,强烈推荐GRE数学科目考试,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-MATH-00-30,https://math.washington.edu/graduate-program
40,华盛顿大学,University of Washington,"Seattle, WA",统计学（博士）:高级数据科学 (ADS) ,PHD,Statistics (PhD)：ADVANCED DATA SCIENCE (ADS) TRACK,文理学院,,,$90 ,秋季,12月2日,3,92，口语26,7.0，口语7.0,科目考试可选，录取过程中不使用 GRE 普通考试。,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-STAT-00-30,https://stat.uw.edu/academics/graduate/programs/phd
40,华盛顿大学,University of Washington,"Seattle, WA",统计学（博士）机器学习与大数据,PHD,Statistics (PhD)-Machine Learning and Big Data,文理学院,,,$90 ,秋季,12月2日,3,92，口语26,7.0，口语7.0,科目考试可选，录取过程中不使用 GRE 普通考试。,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-STAT-00-30,https://stat.uw.edu/academics/graduate/programs/phd
40,华盛顿大学,University of Washington,"Seattle, WA",统计 - （MS - 高级方法和数据分析 ） ,MS,Statistics - (MS - Advanced Methods & Data Analysis - Fulltime) ,文理学院,,,$90 ,秋季,12 月30日 ,3,92，口语26,7.0，口语7.0,科目考试可选，录取过程中不使用 GRE 普通考试。,不接受,学生应具有数学、统计学或定量领域的背景,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-STAT-20-25,https://stat.uw.edu/academics/graduate/programs/fulltimemasters
40,罗格斯大学,"Rutgers University, New Brunswick","Piscataway, NJ",信息技术与分析硕士,M.S.,MS in Information Technology and Analytics,商学院,"通过 3 种专业方向提供多功能性：

网络安全 - 隐私、安全、密码学、云计算、区块链技术、加密货币技术
数据科学和机器学习 - 数据挖掘、数据库管理、机器学习、深度学习
商业分析和运筹学 - 优化建模、应用博弈论和战略决策、离散建模",1年,$70 ,秋季,5月15日,要求,90，写作 22、口语 23、阅读 21、听力 17,7,要求,要求,申请人应具有学士学位和微积分和统计学的基本知识。特别欢迎拥有商业、工业工程、图书馆学、信息技术、计算机科学和相关领域本科学位的申请者。,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://www.business.rutgers.edu/masters-information-technology-analytics/admissions,https://www.business.rutgers.edu/masters-information-technology-analytics
40,罗格斯大学,"Rutgers University, New Brunswick","Piscataway, NJ",信息技术与分析硕士,M.S.,MS in Information Technology and Analytics,商学院,"通过 3 种专业方向提供多功能性：

网络安全 - 隐私、安全、密码学、云计算、区块链技术、加密货币技术
数据科学和机器学习 - 数据挖掘、数据库管理、机器学习、深度学习
商业分析和运筹学 - 优化建模、应用博弈论和战略决策、离散建模",1年,$70 ,春季,10月15日,要求,90，写作 22、口语 23、阅读 21、听力 17,7,要求,要求,申请人应具有学士学位和微积分和统计学的基本知识。特别欢迎拥有商业、工业工程、图书馆学、信息技术、计算机科学和相关领域本科学位的申请者。,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://www.business.rutgers.edu/masters-information-technology-analytics/admissions,https://www.business.rutgers.edu/masters-information-technology-analytics
40,罗格斯大学,"Rutgers University, New Brunswick","Piscataway, NJ",信息硕士,MI,Master of Information,传播与信息学院,档案和保存；数据科学；交互设计和信息学 ；图书情报学；学校图书馆；技术、信息和管理,1.5至2年,$70 ,秋季,7月1日,要求,94，写作，24；阅读，24；听力，22；口语，24,6.5,"要求,如果您的本科GPA为3.0或更高，或者您拥有另一个研究生学位，则无需GRE。",不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://comminfo.rutgers.edu/graduate-programs/master-information/mi-admission,https://comminfo.rutgers.edu/graduate-programs/master-information
40,罗格斯大学,"Rutgers University, New Brunswick","Piscataway, NJ",信息硕士,MI,Master of Information,传播与信息学院,档案和保存；数据科学；交互设计和信息学 ；图书情报学；学校图书馆；技术、信息和管理,1.5至2年,$70 ,春季,11月1日,要求,94，写作，24；阅读，24；听力，22；口语，25,6.5,"要求,如果您的本科GPA为3.0或更高，或者您拥有另一个研究生学位，则无需GRE。",不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://comminfo.rutgers.edu/graduate-programs/master-information/mi-admission,https://comminfo.rutgers.edu/graduate-programs/master-information
40,罗格斯大学,"Rutgers University, New Brunswick","Piscataway, NJ",信息硕士,MI,Master of Information,传播与信息学院,档案和保存；数据科学；交互设计和信息学 ；图书情报学；学校图书馆；技术、信息和管理,1.5至2年,$70 ,夏季,3 月 15 日,要求,94，写作，24；阅读，24；听力，22；口语，25,6.5,"要求,如果您的本科GPA为3.0或更高，或者您拥有另一个研究生学位，则无需GRE。",不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://comminfo.rutgers.edu/graduate-programs/master-information/mi-admission,https://comminfo.rutgers.edu/graduate-programs/master-information
40,罗格斯大学,"Rutgers University, New Brunswick","Piscataway, NJ",数据科学  ,MS,Data Science  ,文理学院,该计划侧重于在算法，优化，系统构建，可视化以及统计理论和方法方面具有坚实基础的分析工具，这些工具已成为行业和社会不可或缺的。,,$70 ,秋季,9月1日,要求,写作 22、口语 23、阅读 21、听力 17。,7,要求,接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://msds-stat.rutgers.edu/msds-admissions/msds-adminfo2,https://msds-stat.rutgers.edu/
40,罗格斯大学,"Rutgers University, New Brunswick","Piscataway, NJ",数据科学  ,MS,Data Science  ,文理学院,该计划侧重于在算法，优化，系统构建，可视化以及统计理论和方法方面具有坚实基础的分析工具，这些工具已成为行业和社会不可或缺的。,,$70 ,春季,1月15日,要求,写作 22、口语 23、阅读 21、听力 17。,7,要求,接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://msds-stat.rutgers.edu/msds-admissions/msds-adminfo2,https://msds-stat.rutgers.edu/
40,罗格斯大学,"Rutgers University, New Brunswick","Piscataway, NJ",商业与科学 - 计算机与信息科学,MBS,Business and Science - Computer and Information Sciences,文理学院,精算科学，分析，网络安全，地理空间信息系统和技术，信息技术，信息技术 - 社交网络和媒体，信息技术 - 用户体验设计， ,,$70 ,秋季,4 月 1 日,要求,写作 22、口语 23、阅读 21、听力 17。,7,可选,不接受,兼职性项目，但提供全日制选项,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://grad.admissions.rutgers.edu/GraduateProgram/Detail.aspx?id=a501U0000004gG8QAI,https://mbs.rutgers.edu/personhybrid-mbs-concentrations
40,罗格斯大学,"Rutgers University, New Brunswick","Piscataway, NJ",商业与科学 - 计算机与信息科学,MBS,Business and Science - Computer and Information Sciences,文理学院,精算科学，分析，网络安全，地理空间信息系统和技术，信息技术，信息技术 - 社交网络和媒体，信息技术 - 用户体验设计，统计和生物统计学,,$70 ,春季,10月1日,要求,写作 22、口语 23、阅读 21、听力 17。,7,可选,不接受,兼职性项目，但提供全日制选项,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://grad.admissions.rutgers.edu/GraduateProgram/Detail.aspx?id=a501U0000004gG9QAI,https://mbs.rutgers.edu/personhybrid-mbs-concentrations
40,塔夫斯大学,Tufts University,"Medford, MA",数据分析 ,MS,Data Analytics ,文理学院,将为您提供竞争优势，帮助您发展分析技能以解释数据并将发现转化为相关的见解和实用的解决方案。,2年,$85 ,秋季,5月15日,要求,90,6.5,要求,要求,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://asegrad.tufts.edu/program/data-analytics-masters,https://as.tufts.edu/dataanalytics/academics/masters-program
40,塔夫斯大学,Tufts University,"Medford, MA",数据科学,MS,Data Science ,工程学院,该计划侧重于统计和机器学习，包括数据基础设施和系统，数据分析和界面以及理论要素的课程,一年,$85 ,秋季,1月15日,要求,90,6.5,要求，仅针对非美加学位的申请人,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://asegrad.tufts.edu/program/data-science-masters,https://engineering.tufts.edu/datascience/academics/ms-data-science
40,塔夫斯大学,Tufts University,"Medford, MA",数据科学,MS,Data Science ,工程学院,该计划侧重于统计和机器学习，包括数据基础设施和系统，数据分析和界面以及理论要素的课程,一年,$85 ,春季,9月15日,要求,90,6.5,要求，仅针对非美加学位的申请人,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://asegrad.tufts.edu/program/data-science-masters,https://engineering.tufts.edu/datascience/academics/ms-data-science
43,波士顿大学,Boston University,"Boston, MA",计算机科学: 数据中心计算,MS,Computer Science ：data-centric computing.,艺术与科学学院,该计划结合了一系列相关领域的深入研究，包括机器学习、数据库、数据挖掘、算法和系统。,3个学期,$95 ,秋季,1月19日；3月15日,3,100，小分推荐不低于25,7,要求,不接受,专为具有强大计算机科学背景的学生而设计。这包括算法、计算机系统、编程语言和理论方面的教育。,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://www.bu.edu/cs/masters/admissions/,https://www.bu.edu/cs/masters/program/cs/
43,波士顿大学,Boston University,"Boston, MA",统计实践,MS, Master of Science in Statistical Practice,艺术与科学学院,,,$95 ,秋季,1月19日；6月30日,要求,100，小分推荐不低于25,7,不要求，但可提交,不接受,应具有丰富的统计学本科背景,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://www.bu.edu/mssp/admission/,https://www.bu.edu/mssp/
43,波士顿大学,Boston University,"Boston, MA",数据分析,MS,Data Analytics,工程学院,非独立学位，工程专业内的各个专业均可选择此选项，获取相关专业知识,,$95 ,秋季,,,,,,,通过工程学院各个专业学位申请,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://www.bu.edu/eng/admissions/graduate/graduate-admissions/application-deadlines-requirements/,https://www.bu.edu/eng/academics/explore-degree-programs/masters-degree-specializations/
43,波士顿大学,Boston University,"Boston, MA",计算与数据科学博士,PHD, PhD program in Computing & Data Sciences,计算与数据科学学院,该计划能够解决问题和综合知识，这些知识与系统地、可概括和可扩展地从数据中提取洞察力以及设计新的信息系统和产品相关，从而使这些洞察力的可操作性使用得以推进在广泛的应用领域的学术和实践追求。,,$95 ,秋季,12月15日；2 月 1日,要求,90,7,可选,不要求,申请人应具备基本的数学和计算能力，包括概率、统计学、线性代数、编程、数据结构和算法。,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://www.bu.edu/cds-faculty/programs-admissions/phd-degree/,https://www.bu.edu/cds-faculty/programs-admissions/phd-degree/
43,波士顿大学,Boston University,"Boston, MA",数据科学硕士,M.S.,MS in Data Science (MSDS),计算与数据科学学院,,9个月,$95 ,秋季,2月 1 日；4月 1 日,要求,90,7,可选,可选,申请人应获得与数据科学计算和数据驱动奖学金领域相关的方法论或应用学科之一的学士或硕士学位。申请人还应该满足先修课程要求，请见招生网址,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://www.bu.edu/cds-faculty/programs-admissions/ms-data-science/msds-admissions-requirements/,https://www.bu.edu/cds-faculty/programs-admissions/ms-data-science/
43,波士顿大学,Boston University,"Boston, MA",应用数据分析硕士,MS,MS in Applied Data Analytics,Metropolitan College,让您接触各种数据库系统、数据挖掘工具、数据可视化工具和包、Python包、R 包和云服务。分析工具的知识与对数据挖掘和机器学习方法的理解相结合，将提高您批判性地分析现实世界问题并了解分析应用程序的可能性和局限性的能力。,,$85 ,秋季、春季、夏季,秋季：6月 1 日、春季： 10月 15 日、夏季：2 月 1 5日,要求,84，阅读21、听力18、口语23、写作22,6.5，小分不低于6.5,不要求,不要求,本质是兼职课程，但国际学生可以通过申请全日制课程，获取学生签证,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://www.bu.edu/met/admissions/apply-now-graduate/,https://www.bu.edu/met/degrees-certificates/ms-applied-data-analytics/
43,波士顿大学,Boston University,"Boston, MA",计算机信息系统硕士，数据分析专业,MS,"MS in Computer Information Systems, Data Analytics Concentration",Metropolitan College,培养在全球需求不断增长的情况下竞争数据分析工作所需的技能，同时探索数据分析的复杂性和与数据处理相关的各种主题，分析和可视化。,,$85 ,秋季、春季、夏季,秋季：6月 1 日、春季： 10月 15 日、夏季：2 月 1 5日,要求,84，阅读21、听力18、口语23、写作22,6.5，小分不低于6.5,不要求,不要求,本质是兼职课程，但国际学生可以通过申请全日制课程，获取学生签证,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://www.bu.edu/met/admissions/apply-now-graduate/,https://www.bu.edu/met/degrees-certificates/ms-computer-information-systems-data-analytics/
