学校中文名,学校英文名,国家/地区,QS 2026,USNews 2026,THE 2025,ARWU 2024,Arts & Humanities,Archaeology,Architecture,Art & Design,Classics,English Language,History$,History of Art,Linguistics,Modern Languages,Music,Performing Arts,Philosophy,Theology,Engineering & Technology,Computer Science,Data Science,Engineering - Chemical,Engineering - Civil,Engineering - Electrical,Engineering - Mechanical,Engineering - Mineral,Petroleum Engineering,Life Sciences & Medicine,Agriculture,Anatomy,Biological,Dentistry,Medicine,Nursing,Pharmacy,Psychology,Veterinary Science,Natural Sciences,Chemistry,Earth & Marine Sciences,Environmental Sciences,Geography,Geology,Geophysics,Mathematics,Materials Science,Physics,Social Sciences & Management,Accounting,Anthropology,Business,Communication,Development Studies,Economics & Econometrics,Education,Hospitality,Law,Library,Marketing,Politics,Social Policy,Sociology,Sports-related Subjects,Statistics
朴茨茅斯大学,University of Portsmouth,英国,635,558,401,901,,,,,,,,,,,,,,,,601-650,,,,,,,101-150,,,,,,701-850,,,,,,,,,,,,,,401-450,,301-375,,601-650,,,551-700,,,,,,,,,,
萨尔大学,Saarland University,德国,635,1271,-,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
塔林科技大学,Tallinn University of Technology,爱沙尼亚,635,1022,601,-,,,,,,,,,,,,,,,=345,351-400,,,,301-350,351-400,,,,,,,,,,,,,,,,,,,,,401-550,,,,,601-650,,,551-700,,,,,,,,,,
南十字大学,Southern Cross University,澳大利亚,638,1151,501,-,,,,,,,,,,,,,,,,,,,,,,,,,351-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马来西亚林肯大学学院,"Lincoln University College, Malaysia",马来西亚,638,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601-650,,,,,,,,,,,,,
萨拉戈萨大学,Universidad de Zaragoza,西班牙,638,790,1001,501,401-450,,,,,301-350,,,,,,,,,501-550,651-700,,301-350,,401-450,351-400,,,501-550,201-250,,551-600,,601-650,,,,,401-450,401-450,,401-450,,,,501-600,301-350,301-350,,,,601-650,,,551-700,351-400,,,51-100,,,,,,
布拉格化工大学,"University of Chemistry & Technology, Prague",捷克共和国,638,1601,1201,-,,,,,,,,,,,,,,,,,,201-250,,,,,,,,,,,,,,,,,251-300,,,,,,,351-400,,,,,,,,,,,,,,,,,,
弗里堡大学,Université de Fribourg,瑞士,642,664,401,501,451-500,,,,51-150,,,,,,,,,,,,,,,,,,,,,,,,701-850,,,,,,601-700,,,,,,,401-550,,,,,,,,,,,,,,,,,,
曼尼托巴大学,University of Manitoba,加拿大,643,440,401,201,,,,,,,,,,,,,,,451-500,501-550,,,,301-350,501-575,,,=247,101-150,101-170,401-450,,301-350,151-225,201-250,301-350,,501-550,501-550,,401-450,,,,501-600,,451-500,,,,501-550,,,551-700,301-350,,,,,,,,,
曼彻斯特城市大学,Manchester Metropolitan University,英国,643,667,601,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿博大学,Abo Akademi University,芬兰,643,1117,501,-,,,,,,,,,,,,,,,,,,401-450,,,,,,,,,,,,,,,,,451-500,,,,,,,,,,,,,,,,,,,,,,,,,
仁荷大学,Inha University,韩国,643,1144,801,601,,,,,,,,,,,,,,,501-550,,,251-300,,351-400,201-250,,,,,,401-450,,701-850,,,,,451-500,351-400,,,,,,501-600,251-300,351-400,,,,501-550,,,,,,,,,,,,,
博尔扎诺自由大学,Libera Universita' di Bolzano,意大利,643,901,351,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UiT挪威北极大学,UiT The Arctic University of Norway,挪威,648,578,601,-,501-550,201-260,,,,,,,101-150,,,,,,,,,,,,,,,501-550,,,651-700,,551-600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
费萨尔国王大学,King Faisal University,沙特阿拉伯,648,578,601,801,,,,,,,,,,,,,,,451-500,501-550,,401-450,,451-500,,,51-100,,401-475,,601-650,,551-600,,301-350,,,,451-500,,,,,,501-600,401-550,,,,,551-600,,,,301-350,,,,,,,,,
布雷西亚大学,Brescia University,意大利,650,479,351,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551-600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
莫斯科国立国际关系学院,MGIMO University,俄国,650,-,-,-,=394,,,,,301-350,,,151-200,151-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=367,,,501-550,,,351-400,,,201-250,,,=91,,,,
萨尔茨堡巴黎罗德隆大学,Paris Lodron University of Salzburg,奥地利,650,-,601,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201-250,,,,,,,,,,,,,,,,,,,,,,
República大学（乌德拉尔）,Universidad de la República (Udelar),乌拉圭,650,933,-,-,=345,,,,,,,,,,,,,,,,,,,,,,,451-500,251-300,,601-650,,401-450,,,,,,601-700,,,,,,,,,501-550,,,,,,551-700,,,351-400,,,201-250,,201-250,,
里尔大学,Université de Lille,法国,654,349,601,301,=342,201-260,,,51-150,,,,,,,,,,401-450,451-500,,351-400,,351-400,301-350,,,=293,,,301-350,,251-300,,151-200,,,=276,201-250,201-275,351-400,,,,401-450,201-250,401-450,,,,,,,501-550,,,,,,,,,,
费萨拉巴德农业大学,University of Agriculture Faisalabad,巴基斯坦,654,594,-,-,,,,,,,,,,,,,,,,,,,,,,,,=391,34,,401-450,,,,,,51-100,,451-500,,251-300,,,,,,,,,,,,,,,,,,,,,,,
南佛罗里达大学,University of South Florida,美国,654,357,351,301,,,,,,,,,,,,,,,501-550,501-550,,401-450,,501-550,501-575,,,=256,201-250,,351-400,,=186,151-225,201-250,201-250,,501-550,501-550,,351-400,,,,401-450,401-550,501-550,,,,351-400,,,551-700,301-350,51-100,,,,,,,,
中国矿业大学,China University of Mining,中国,654,550,-,401,,,,,,,,,,,,51-100,,,,,,,,,,14,,,,,,,,,,,,,,201-275,401-450,,101-150,201-250,451-500,401-550,,,,,,,,,,,,,,,,,,
德拉萨大学,De La Salle University,菲律宾,654,-,1501,-,401-450,,,,,201-250,,,201-250,,,,,,,601-650,,401-450,,451-500,501-575,,,,,,,,,,,,,,,,,,,,,,,451-500,,,401-450,201-250,,401-450,301-350,,,,,301-400,,,,
法政大学,Thammasat University,泰国,551,1582,1201,-,=365,,,,,201-250,,,251-300,251-300,,,,,,751-850,,,,,,,,,351-400,,,,701-850,,,,,,,,,,,,,,,=323,,,351-400,,101-150,351-400,,,251-300,,,201-250,,301-375,,
纽芬兰纪念大学,Memorial University of Newfoundland,加拿大,660,696,501,801,,,,,,,,,,,,,,,,,,,,,,,51-100,,401-475,,,,701-850,,,,,,,201-275,,,201-250,201-250,501-600,,,,,,,,,,,,,,,,,,,
巴伊兰大学,Bar-Ilan University,以色列,660,802,601,401,,,,,,,,,,,,,,101-150,,701-750,,,,,,,,,,,,,701-850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
威尼斯福斯卡里宫大学,Ca’ Foscari University of Venice,意大利,660,-,501,-,=123,101-150,,,39,,101-150,,151-200,=77,,,,101-150,,551-600,,,,,,,,,,,,,,,,,,,,,501-550,151-200,,,,,,401-450,251-300,101-170,451-500,251-275,,201-250,,101-150,,,,251-300,,,,
金斯顿大学,Kingston University,英国,660,1534,801,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伊斯兰堡大学,COMSATS University Islamabad,巴基斯坦,664,333,601,601,,,,,,,,,,,,,,,=207,201-250,,251-300,,201-250,401-450,,,501-550,251-300,,351-400,,551-600,,301-350,,,=331,251-300,,351-400,,,,=140,,251-300,401-450,301-375,,401-450,,,201-250,,,,,,,,,,
印度理工学院海德拉巴,Indian Institute of Technology Hyderabad,印度,664,1144,-,-,,,,,,,,,,,,,,,501-550,701-750,,,,501-550,501-575,,,,,,,,,,,,,,601-700,,,,,,,401-550,501-550,,,,,,,,,,,,,,,,,
孟买大学,University of Mumbai,印度,664,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601-700,,,,,,,,,,,,551-600,,,551-700,,,,,,,,,,
法政大学,Hosei University,日本,-,974,1201,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博拉理工学院,Birla Institute of Technology and Science,印度,668,1041,601,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长庚大学,Chang Gung University,中国台湾,668,1144,601,601,,,,,,,,,,,,,,,,,,,,,,,,=355,,101-170,451-500,,251-300,151-225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
卡尔·弗朗岑斯大学格拉茨大学,Karl-Franzens-Universitaet Graz,奥地利,668,-,-,-,=250,,,,,201-250,201-250,,101-150,151-200,,,,,,,,,,,,,,,,,551-600,,,,,,,501-550,501-550,,,,,,,,451-500,,,,,,,551-700,301-350,,351-400,,,,,,,
理海大学,Lehigh University,美国,668,989,601,901,,,,,,,,,,,,,,,,751-850,,,201-275,,,,,,,,,,,,,,,,,,,,,,,,601-675,,,,,,,,,,,,,,,,,
帕拉茨基大学,Palacky University Olomouc,捷克共和国,668,737,1001,601,501-550,,,,,,,,,,,,,,,,,,,,,,,451-500,,,451-500,,551-600,,,,,451-500,401-450,,451-500,,,,,401-550,601-675,,,,,,,,,,,,,,,,,
史蒂文斯理工学院,Stevens Institute of Technology,美国,673,1014,401,-,,,,,,,,,,,,,,,,751-850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
釜山国立大学,Pusan National University,韩国,473,709,501,401,,151-200,201-260,,,,,,,251-300,,,,,451-500,551-600,,301-350,,351-400,201-250,,,501-550,,,401-450,,401-450,,201-250,,,=385,301-350,,351-400,,,,301-350,201-250,301-350,,,,551-600,,,251-300,,,351-400,51-100,,,,,,
贝鲁特阿拉伯大学,Beirut Arab University,黎巴嫩,676,-,601,-,,,,151-200,,,,,,,,,,,401-450,351-400,,,,451-500,,,51-100,,251-300,,,,551-600,,301-350,,,,,,,,,,501-600,,,,,,501-550,,,,,,,,,,,,,
迦达浦大学,Jadavpur University,印度,676,1195,1001,-,501-550,,,,,201-250,,,,,,,,,451-500,451-500,,301-350,,401-450,351-400,,,,,,,,,,301-350,,,451-500,351-400,,501-550,,,,451-500,351-400,401-450,,,,,,,451-500,,,,,,,,,,
迪拜美国大学,American University in Dubai,阿拉伯联合酋长国,678,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海法大学,University of Haifa,以色列,678,731,601,601,401-450,101-150,,,,,,,,,,,,,,701-750,,,,,,,,,,,,,601-650,,,251-300,,,,,,,,,401-450,,,,,,,251-275,,,301-350,,,,,301-400,,,,
布拉维再也大学,University of Brawijaya,印度尼西亚,680,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
韩国外国语大学,HUFS - Hankuk (Korea) University of Foreign Studies,韩国,680,-,-,-,=287,,,,51-150,151-200,,,101-150,151-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451-500,251-275,,551-700,251-300,,,,,151-200,,301-375,,
南京航空航天大学,Nanjing University of Aeronautics and Astronautics,中国,680,510,601,201,,,,,,,,,,,,,,,401-450,601-650,,,,351-400,151-200,,,,,,,,,,,,,,,,,,,,251-300,201-250,,,,,,,,,,,,,,,,,,
立命馆大学,Ritsumeikan University,日本,680,1573,1501,-,=291,151-200,,,=45,,,,,251-300,,,151-200,,,501-550,,,,,451-500,,,,,,,,,,,,,,,,,201-250,,,,,,501-550,,,551-600,,,401-450,,,,,,151-200,,,,
布拉迪斯拉发的夸美纽斯大学,Comenius University in Bratislava,斯洛伐克,684,806,1201,901,,,,,,,,,,,,,,,,,,,,,,,,,401-475,,,,601-650,,,,,,,,,,,,,,601-675,,,,,,,,,,,,,,,,,
同德胜大学,Ton Duc Thang University,越南,684,383,601,-,,,,,,,,,,,,,,,,601-650,,401-450,,451-500,,,,,,,,,,,,,,501-550,451-500,,401-450,,,,251-300,351-400,,,,,,,,,,,,,,,,,,
中国石油大学（华东）,China University of Petroleum (East China),中国,686,500,801,301,,,,,,,,,,,,,,,,,,,,,,,151-175,,,,,,,,,,,,601-700,,,,,,,401-550,,,,,,,,,,,,,,,,,,
塞浦路斯科技大学,Cyprus University of Technology,塞浦路斯,686,1032,601,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巴库州立大学,Baku State University,阿塞拜疆,688,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,151-175,,,,,,,,,,,,,,,,,,501-600,,,,,,,,,,,,,,,,,,,
托木斯克理工大学,Tomsk Polytechnic University,俄国,688,959,801,-,,,,,,,,,,,,,,,=320,501-550,,201-250,,301-350,301-350,,30,,,,,,,,,,,401-450,401-450,,,,,,,301-350,351-400,,,,,,,,,,,,,,,,,
蔚蓝海岸大学,Université Côte d'Azur,法国,688,360,601,-,,,,,,,,,,,,,,,,501-550,,,,,,,,451-500,,,301-350,,401-450,,,,,=390,501-550,,,,201-250,201-250,301-350,,351-400,,,,,,,451-500,,,,,,,,,,
雷根斯堡大学,Universität Regensburg,德国,691,601,-,301,,,,,,,,,,,,,,,,,,,,,,,,501-550,,,451-500,,501-550,,,,,,401-450,,,,,,,,401-450,,,,,,,,,,,,,,,,,
釜庆大学,Pukyong National University,韩国,1201-1400,1468,1201,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南里奥格兰德联邦大学,Federal University of Rio Grande do Sul,巴西,691,464,601,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
韦洛尔技术学院,Vellore Institute of Technology,印度,691,699,-,501,,,,,,,,,,,,,,,142,=110,51-100,251-300,,151-200,201-250,,,,351-400,,351-400,,551-600,,,,,=362,301-350,,451-500,,,,201-250,151-200,401-450,,,,551-600,,,,,,,,,,,,,251-275
伦斯勒理工学院,Rensselaer Polytechnic Institute,美国,695,937,401,501,,,,,,,,,,,,,,,401-450,501-550,,351-400,,251-300,301-350,,,,,,,,,,,,,,551-600,,,,,,,251-300,351-400,,,,,,,,,,,,,,,,,
共生国际大学,Symbiosis International University,印度,696,727,601,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
密苏里大学,Mizzou - University of Missouri,美国,697,468,501,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安卡拉大学,Ankara Üniversitesi,土耳其,697,802,1501,801,401-450,,,,,301-350,,,,301-350,,,,101-150,501-550,,,,,,,,,=380,201-250,,451-500,51-120,351-400,,351-400,,,501-550,401-450,,,,,,301-350,,551-600,451-500,,,,,,501-550,151-200,,,,,301-400,,,,
北京化工大学,Beijing University of Chemical Technology,中国,697,319,401,201,,,,,,,,,,,,,,,,,,201-250,,,,,,,,,551-600,,,,,,,,201-250,,,,,,,201-250,,,,,,,,,,,,,,,,,,
哈萨克国立农业大学,Kazakh National Agrarian University KazNAU,哈萨克斯坦,697,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,351-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
东京医科齿科大学,Tokyo Medical and Dental University,日本,697,-,401,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿尔卡拉大学,Universidad de Alcala,西班牙,697,873,801,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
克拉根福大学,University of Klagenfurt,奥地利,697,-,501,-,,,,,,,,,,,,,,,,751-850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泛美大学,Universidad Panamericana (UP),墨西哥,701-710,-,1501,-,501-550,,,,,,,,,,,,51-100,,,551-600,,,,,,,,,,,,,,,,,,,,,,,,,,,,401-450,,,201-250,,,551-700,,151-175,251-300,,,,,,,
中佛罗里达大学,University of Central Florida,美国,701-710,434,401,401,,201-260,,,,,,,,,,,,,451-500,301-350,,,,301-350,301-350,,,,,,601-650,,501-550,151-225,,251-300,,451-500,551-600,,401-450,,,,401-450,351-400,251-300,401-450,301-375,,251-300,,,501-550,401-450,18,,,,301-400,,,,
全北国立大学,Jeonbuk National University,韩国,701-710,901,801,701,,,,,,,,,,,,,,,451-500,701-750,,201-250,,401-450,351-400,,51-100,501-550,201-250,,351-400,,551-600,,351-400,,51-100,401-450,301-350,,201-250,,,,,251-300,351-400,,,,,,,551-700,,,,,,,,,,
泰国农业大学,Kasetsart University,泰国,701-710,1314,1501,-,,,,,,,,,,,,,,,501-550,,,351-400,,501-550,501-575,,,401-450,=60,,451-500,,,,,,51-100,501-550,501-550,,351-400,,,,,401-550,,501-550,,,,,,451-500,,,,,,,,,,
萨格勒布大学,University of Zagreb,克罗地亚,701-710,562,1201,401,501-550,,,,,,,,,,,,,,,701-750,,,,,501-575,,101-150,401-450,101-150,,501-550,,451-500,,,,,,601-700,,301-350,,,,501-600,,,,,,,,,551-700,,,,,,,,,,
香港岭南大学,"Lingnan University, Hong Kong",中国香港,701-710,1009,-,-,451-500,,,,,151-200,,,,301-350,,,101-150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551-600,201-250,,401-450,401-450,,,,,,51-100,251-300,,
南京理工大学,Nanjing University of Science & Technology,中国,701-710,451,-,301,,,,,,,,,,,,,,,,601-650,,351-400,,451-500,451-500,,,,,,,,,,,,,,,,351-400,,,,451-500,301-350,551-600,,,,,,,551-700,,,,,,,,,,
设拉子大学,Shiraz University,伊朗,701-710,1032,801,-,,,,,,,,,,,,,,,,,,,,,,,101-150,,351-400,,,,,,,,,,501-550,,,,,,,,,,,,,,,,,,,,,,,,,
瑞尔森大学,Ryerson University,加拿大,711-720,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
布伦瑞克工业大学,Technical University of Braunschweig,德国,711-720,-,501,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雷恩第一大学,Université de Rennes 1,法国,711-720,504,601,401,,,,,,,,,,,,,,,401-450,301-350,,401-450,,301-350,,,,401-450,,,351-400,,501-550,,,,,=293,201-250,201-275,451-500,,201-250,201-250,301-350,351-400,451-500,,,,,,,,,,,,,,,,,
霍恩海姆大学,University Hohenheim,德国,711-720,857,301,901,,,,,,,,,,,,,,,,,,,,,,,,,26,,501-550,,,,,,,,,,251-300,,,,,,,,,,,,,451-500,,,,,,,,,,
内布拉斯加大学-林肯,University of Nebraska - Lincoln,美国,711-720,490,401,301,,,,,,,,,,,,,,,,751-850,,,,,,,,=355,=46,,301-350,,,,,,,451-500,601-700,,301-350,,201-250,,,401-550,601-675,,,,,,,,251-300,,,,,,,,,
台湾亚洲大学,Asia University,中国台湾,711-720,703,401,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
布达佩斯科技经济大学,Budapest University of Technology & Economics,匈牙利,711-720,1428,1201,801,,,,,,,,,,,,,,,=231,301-350,,251-300,201-275,301-350,151-200,,,,,,,,,,,,,=383,401-450,,451-500,,,,301-350,401-550,351-400,,,,501-550,,,551-700,,,,,,,,,,
德雷塞尔大学,Drexel University,美国,711-720,493,351,401,,,,,,,,,,,,,,,,651-700,,351-400,,,,,,451-500,,,501-550,,301-350,,,,,,601-700,,,,,,,201-250,551-600,,,,,,,501-550,,,,51-100,,,,,,
伦敦大学金史密斯学院,Goldsmiths University London,英国,711-720,1419,501,-,=141,,,37,,97,,21-50,,,,=26,,,,,,,,,,,,,,,,,,,,301-350,,,,,,,,,,,,,,51-100,,22,,,401-450,,,,,,,101-150,,
里斯本大学研究所,Instituto Universitario de Lisboa,葡萄牙,711-720,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301-350,,,,,,,,,,,,501-550,,,451-500,,,551-700,,,,,,,,251-300,,
圣光机大学,ITMO University,俄国,711-720,908,801,-,,,,,,,,,,,,,,,=246,=152,,301-350,,201-250,301-350,,,,,,651-700,,551-600,,151-200,,,=308,351-400,,,,,,351-400,301-350,201-250,,,,,,,,,,,,,,,,,
辛辛那提大学,University of Cincinnati,美国,721-730,207,-,301,,151-200,,151-200,51-150,,,,,,,,,,,601-650,,151-200,,,351-400,,,=346,,,301-350,,251-300,101-150,201-250,,,,501-550,,301-350,,,,,,401-450,,,,,,,,,,,,,,,251-300,,
帕特雷大学,University of Patras,希腊,721-730,877,1001,901,,,,,,,,,,,,,,,401-450,451-500,,301-350,201-275,301-350,301-350,,,,,,551-600,,501-550,,,,,,501-550,,351-400,,,,501-600,401-550,501-550,,,,,,,,,,,,,,,,,
格赖夫斯瓦尔德大学,Universitat Greifswald,德国,-,1014,401,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巴基斯坦工程与应用科学研究所,Pakistan Institute of Engineering and Applied Sciences (PIEAS),巴基斯坦,721-730,1499,-,-,,,,,,,,,,,,,,,,751-850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
萨塔姆·本·阿卜杜勒阿齐兹王子大学,Prince Sattam Bin Abdulaziz University,沙特阿拉伯,721-730,487,601,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701-850,,,,,,,,,,,,501-600,,,,,,,,,,,,,,,,,,,
基辅国立大学,Taras Shevchenko National University Kiev,乌克兰,721-730,1402,1501,901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天普大学,Temple University,美国,721-730,360,351,401,501-550,,,,,,,,,,,,201-225,,,451-500,,,,,,,,=375,,101-170,501-550,,351-400,151-225,351-400,201-250,,,,,,,,,,,501-550,451-500,301-375,,251-300,151-200,,551-700,351-400,51-100,,,,,,,51-100,
俄罗斯国立科技大学,The National University of Science and Technology MISIS,俄国,721-730,1144,601,-,,,,,,,,,,,,,,,451-500,,,,,,351-400,=48,,,,,,,,,,,,401-450,551-600,,,,,,,151-200,401-450,,,,,,,,,,,,,,,,,
米尔佐·乌鲁别克乌兹别克斯坦国立大学,National University of Uzbekistan named after Mirzo Ulugbek,乌兹别克斯坦,721-730,-,1001,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世纪大学,SEGi University,马来西亚,731-740,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
委内瑞拉中央大学,Universidad Central de Venezuela,委内瑞拉,731-740,-,-,-,,,,,,,,,,251-300,,,,,,,,,,,,,101-150,,,,,,601-650,,,,,,,,,,,,,,,,,,,,,,,,301-350,,,,,,,
突尼斯艾尔马纳尔大学,Universite de Tunis El Manar,突尼斯,731-740,-,-,901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
耶尔德兹工业大学,Yildiz Technical University,土耳其,731-740,1199,801,-,,,,,,,,,,,,,,,=262,551-600,,,,301-350,251-300,,,,,,,,,,,,,401-450,,,,,,,501-600,401-550,601-675,,,,,,,,,,,,,,,,,
南哈萨克斯坦州立大学,Auezov South Kazakhstan State University (SKSU),哈萨克斯坦,731-740,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
远东联邦大学,Far Eastern Federal University,俄国,731-740,1772,1201,-,451-500,,,,,,,,301-350,,,,,,,,,,,,451-500,,,,,,,,,,,,,,,,,,,,,,501-550,,,,,,,,,,,,,,,,,
国立理工学院，蒂鲁吉拉伯利,National Institute of Technology Tiruchirappalli,印度,731-740,1592,801,-,,,,,,,,,,,,,,,,751-850,,,,501-550,501-575,,,,,,,,,,,,,,,,,,,,,401-550,,,,,,,,,,,,,,,,,,
努拉·本·公主阿卜杜勒拉曼大学,Princess Nourah bint Abdulrahman University,沙特阿拉伯,731-740,521,501,301,,,,,,,,,,,,,,,,601-650,,,,,,,,,,,,,651-700,,,,,,,,,,,,501-600,,,,,,,,,,,,,,,,,,,
德克萨斯理工大学,Texas Tech University,美国,731-740,568,601,401,,,,,,,,,,,,,,,,601-650,,,,401-450,451-500,,=49,501-550,101-150,,551-600,,,,,,,501-550,601-700,,451-500,,,,501-600,,501-550,,,,501-550,,,551-700,,101-150,,,,,,,,
普列汉诺夫俄罗斯经济大学,Plekhanov Russian University of Economics,俄国,741-750,-,1201,-,401-450,,,,,,,,,,,,,,401-450,501-550,,,,,,,,,,,,,,,,,,,,,,,,,,,,=267,301-375,,251-300,,,201-250,,51-100,351-400,,,301-400,,,,
沙希德·贝赫什提大学,Shahid Beheshti University,伊朗,741-750,1117,801,-,,,,,,,,,,,,,,,,751-850,,,,,,,,,,,,,701-850,,,,,,551-600,,,,,,,,,,,,,,,,,,,,,,,,,
雪城大学,Syracuse University,美国,741-750,483,401,701,451-500,,151-200,151-200,,,,,,,,,,,,501-550,,,,,,,,,,,,,,,,301-350,,,,,,151-200,,,,,451-500,451-500,,,351-400,51-100,101-150,301-350,401-450,,,14,,101-150,15,251-300,,
韩国天主教大学,The Catholic University of Korea,韩国,741-750,1235,601,801,,,,,,,,,,,,,,,,,,,,,,,,401-450,,,601-650,,301-350,101-150,301-350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
维陶塔斯·马格努斯大学,Vytautas Magnus University,立陶宛,741-750,1869,1201,-,,,,,,,,,,,,,,,,,,,,,,,,,301-350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巴格达大学,University of Baghdad,伊拉克,741-750,1365,1501,-,,,,,,,,,251-300,,,,,,=302,451-500,,401-450,,451-500,351-400,,51-100,,351-400,,,,551-600,,,,,,601-700,,,,,,,,,,,,,,,,,,,,,,,,,
马耳他大学,University of Malta,马耳他,741-750,919,801,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701-850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
墨西拿大学,University of Messina,意大利,741-750,604,501,801,,,,,,,,,,,,,,,,,,,,,,,,501-550,,,,,501-550,,301-350,,,,551-600,,,,,,,,601-675,,,,,,,,,,,,,,,,,
佩奇大学,University of Pecs,匈牙利,741-750,1322,1001,-,,,,,,,,,,,,,,,,,,,,,,,151-175,,401-475,,651-700,,451-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿伯里斯特威斯大学,Aberystwyth University,英国,741-750,1164,601,-,,,,,,,,,,,,,,,,,,,,,,,,,301-350,,,,,,,,,,,,,201-250,,,,,,,,,,,,,,,,,,201-250,,,,
亚当·米基维奇大学,Adam Mickiewicz University,波兰,741-750,926,1001,901,=381,201-260,,,,,,,151-200,251-300,,,,,,,,,,,,,,,,,551-600,,,,,,,401-450,551-600,,,,,,,,401-450,,,,,,,,401-450,,,,,,,,,
