大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,招生网址,专业网址,所属院系网址,网申地址
University of Delaware,MS ,Master of Science in Bioinformatics Data Science ,农业与自然资源学院,Center for Bioinformatics & Computational Biology,https://bioinformatics.udel.edu/education/prospective-students/,https://bioinformatics.udel.edu/education/degrees/bicb-ms/,https://bioinformatics.udel.edu/,
University of Delaware,MS ,Master of Science in Bioinformatics Data Science ,农业与自然资源学院,Center for Bioinformatics and Computational Biology,https://bioinformatics.udel.edu/education/prospective-students/,https://bioinformatics.udel.edu/education/degrees/bicb-ms/,https://bioinformatics.udel.edu,
University of Delaware,PhD,Bioinformatics Data Science,农业与自然资源学院,Center for Bioinformatics and Computational Biology,https://bioinformatics.udel.edu/education/prospective-students/,https://bioinformatics.udel.edu/education/degrees/binf-phd/,https://bioinformatics.udel.edu,
University of Delaware,PhD,Bioinformatics Data Science,农业与自然资源学院,Graduate College,https://bioinformatics.udel.edu/education/prospective-students/,https://bioinformatics.udel.edu/education/degrees/binf-phd/,https://grad.udel.edu,
Clemson University,PhD,Biomedical Data Science and Informatics,工程，计算机和应用科学学院,School of Computing,https://www.clemson.edu/degrees/biomedical-data-science-informatics/grad,https://computing.clemson.edu/bdsi/,https://computing.clemson.edu/,
Clemson University,MS,Biomedical Data Science and Informatics,工程，计算机和应用科学学院,School of Computing,https://www.clemson.edu/degrees/biomedical-data-science-informatics/grad,https://computing.clemson.edu/bdsi/,https://computing.clemson.edu/,
Marquette University,MS,Criminal Justice Data Analytics ,文理学院,Graduate School,https://www.marquette.edu/grad/programs-criminal-justice-data-analytics.php,https://www.marquette.edu/grad/programs-criminal-justice-data-analytics.php,https://www.marquette.edu/grad/,
Marquette University,MS,Criminal Justice Data Analytics ,文理学院,Graduate School,https://www.marquette.edu/grad/programs-criminal-justice-data-analytics.php,https://www.marquette.edu/grad/programs-criminal-justice-data-analytics.php,https://www.marquette.edu/grad/,
Temple University,PSM,Bioinformatics and Biological Data Science PSM,科学技术学院,College of Science and Technology,https://www.temple.edu/academics/degree-programs/bioinformatics-psm-st-binf-psm/how-to-apply,https://www.temple.edu/academics/degree-programs/bioinformatics-psm-st-binf-psm,https://cst.temple.edu,
University of Oregon,MS,Education Policy and Leadership,教育学院,College of Education,https://education.uoregon.edu/epol/apply,https://education.uoregon.edu/epol/graduate/ms,https://education.uoregon.edu,
Illinois Institute of Technology,M.S.,Master of Science in Biomedical Modeling and Data Science,工程学院,Armour College of Engineering,https://www.iit.edu/admissions-aid/graduate-admission/international-students,https://www.iit.edu/academics/programs/master-science-biomedical-modeling-and-data-science,https://www.iit.edu/academics/colleges/armour-college-engineering,
University of Arizona,MS,Agricultural & Resource Econ (MS) - Applied Econometrics and Data Analytics,农业与生命科学学院,,https://grad.arizona.edu/catalog/programinfo/ARECMSAEDA,https://economics.arizona.edu/graduate/ms-applied-econometrics-data-analytics,,
