大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,面试,判定状态,面试newp,判定状态newp
Northeastern University（Boston）,MS,Applied Math,科学学院,,不需要,投票结果-不需要(2票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University（Boston）,MS,Applied Math,科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University（Boston）,MPS,Analytics — Boston,专业研究学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University,MS,Master of Professional Studies in Analytics,东北大学（弗吉尼亚州阿灵顿）,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
Northeastern University,MPS,Analytics — Oakland,东北大学（奥克兰校区）,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University,MPS,Analytics — Portland,东北大学（波特兰校区）,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University,MS,Align DATA SCIENCE,东北大学（波特兰校区）,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University,MS,Align DATA SCIENCE,东北大学（波特兰校区）,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University,MS,DATA SCIENCE,东北大学（波特兰校区）,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University,MS,DATA SCIENCE,东北大学（波特兰校区）,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University,MS,Analytics — Silicon Valley,东北大学（硅谷校区）,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University,MS,Align DATA SCIENCE,东北大学（硅谷校区）,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University,MS,Align DATA SCIENCE,东北大学（硅谷校区）,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University,MS,DATA SCIENCE,东北大学（硅谷校区）,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University,MS,DATA SCIENCE,东北大学（硅谷校区）,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University,MS,Analytics  ,东北大学（西雅图校区）,,不需要,投票结果-不需要(2票) vs 需要(1票),不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University,MS,Master of Science in Data Analytics Engineering,东北大学（西雅图校区）,,不需要,投票结果-不需要(3票) vs 需要(0票),需要,投票结果-需要(2票) vs 不需要(1票)
Northeastern University,MS,Master of Science in Data Analytics Engineering,东北大学（西雅图校区）,,不需要,投票结果-不需要(2票) vs 需要(0票),,投票平局-需要(1票) vs 不需要(1票)
Northeastern University,MS,Master of Science in Data Architecture and Management,东北大学（西雅图校区）,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University,MS,Master of Science in Data Architecture and Management,东北大学（西雅图校区）,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
Northeastern University,MS,Analytics ,东北大学（西雅图校区）,,不需要,投票结果-不需要(2票) vs 需要(1票),不需要,投票结果-不需要(2票) vs 需要(1票)
Northeastern University（Toronto）,MS,Analytics — Toronto,东北大学（加拿大多伦多校区）,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
Northeastern University（Vancouver）,MS,Analytics — Vancouver,东北大学（加拿大温哥华校区）,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University（Vancouver）,MS,Master of Science in Data Analytics Engineering,东北大学（加拿大温哥华校区）,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
Northeastern University（Vancouver）,MS,Master of Science in Data Analytics Engineering,东北大学（加拿大温哥华校区）,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University（Boston）,硕士预科项目,Analytics（College of Professional Studies）,Global Pathways项目,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University（Boston）,硕士预科项目,Data Analytics Engineering（College of Engineering）,Global Pathways项目,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University（Boston）,硕士预科项目,Data Analytics Engineering（College of Engineering）,Global Pathways项目,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
Northeastern University（Boston）,硕士预科项目,Data Architecture and Management（College of Engineering）,Global Pathways项目,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University（Boston）,硕士预科项目,Data Architecture and Management（College of Engineering）,Global Pathways项目,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Florida State University,PHD,Data Science,文理学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
Florida State University,MS,Data Science,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Florida State University,MS,Statistical Data Science ,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Florida State University,MS,Statistical Data Science ,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Minnesota, Twin Cities",MS,Data Science M.S.,理工学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Minnesota, Twin Cities",MS,M.S. in Data Science in Operations Research,理工学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Minnesota, Twin Cities",MS,M.S. in Industrial and Systems Engineering (Analytics Track),理工学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Minnesota, Twin Cities",MS,MS Mathematics: Data Science,理工学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
College of William & Mary,MS,Applied Science—Data Science,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
College of William & Mary,Ph.D,Applied Science—Data Science,文理学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
College of William & Mary,MS,Applied Science—Data Science,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(1票) vs 需要(0票)
College of William & Mary,Ph.D,Applied Science—Data Science,文理学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
University of Connecticut,M.S.,Data Science,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
"Stony Brook University, SUNY",MS,"Data Science 
",工程与应用科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"Stony Brook University, SUNY",PHD,"Data Science 
",工程与应用科学学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
"Stony Brook University, SUNY",MS,"Data Science 
",工程与应用科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"Stony Brook University, SUNY",PHD,"Data Science 
",工程与应用科学学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
"North Carolina State University, Raleigh",MCS, Computer Science- Data Science,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"North Carolina State University, Raleigh",MS,Advanced Analytics,研究生院,,需要,投票结果-需要(3票) vs 不需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
"Pennsylvania State University, University Park",MS,Informatics(Data Sciences),信息科学与技术学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Rensselaer Polytechnic Institute,MS,Information Technology,科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Rensselaer Polytechnic Institute,MS,Information Technology,科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Michigan State University,MS,MASTER'S IN BUSINESS DATA SCIENCE & ANALYTICS,商学院,,不需要,投票结果-不需要(1票) vs 需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
Michigan State University,MS,Master of Science  in Data Science,自然科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
"University of Massachusetts, Amherst",MS,Master of Science in Computer Science（DATA SCIENCE ）,信息与计算机科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Massachusetts, Amherst",MS,Master of Science in Computer Science（DATA SCIENCE ）,信息与计算机科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Miami,MS, Master of Science in Data Science,文理学院,,需要,投票结果-需要(2票) vs 不需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Miami,MS, Master of Science in Data Science：Technical Data Science (College of Arts & Sciences and College of Engineering),文理学院,,需要,投票结果-需要(3票) vs 不需要(0票),不需要,投票结果-不需要(1票) vs 需要(0票)
University of Pittsburgh,MS,Master of Science in Information Science,计算机和信息学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Pittsburgh,MS,Master of Science in Information Science,计算机和信息学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Pittsburgh,MS,Master of Science in Information Science,计算机和信息学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Pittsburgh,PHD,Doctor of Philosophy in Information Science,计算机和信息学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
University of Pittsburgh,MS,Industrial Engineering：Data Science,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Pittsburgh,MS,Industrial Engineering：Data Science,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
George Washington University,MS,Data Science ,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
George Washington University,MS,Data Science ,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
George Washington University,MS,Data Analytics ,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),需要,投票结果-需要(2票) vs 不需要(1票)
George Washington University,MS,Data Analytics ,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),需要,投票结果-需要(2票) vs 不需要(1票)
Villanova University,MS,MS IN APPLIED STATISTICS AND DATA SCIENCE,文理学院,,不需要,投票结果-不需要(2票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
Villanova University,MS,MS IN APPLIED STATISTICS AND DATA SCIENCE,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
Villanova University,MS,MS IN APPLIED STATISTICS AND DATA SCIENCE,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Syracuse University,MS,APPLIED DATA SCIENCE,信息研究学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(1票)
Syracuse University,MS,APPLIED DATA SCIENCE,信息研究学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Syracuse University,PHD,Information Science and Technology,信息研究学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
"Binghamton University, SUNY",MS,Data Analytics (MS),研究生跨学科项目,,不需要,投票结果-不需要(2票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"Binghamton University, SUNY",MS,MS in Information Systems: Applied Data Science,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
"Indiana University, Bloomington",M.S., Dual M.S. Degree program in Statistical Science and Data Science,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
"Indiana University, Bloomington",M.S., Dual M.S. Degree program in Data Science and Applied Statistics,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"Indiana University, Bloomington",M.S.,Data Science—Applied Data Science Track,信息学，计算机和工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"Indiana University, Bloomington",M.S.,Data Science—Big Data Systems Track,信息学，计算机和工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"Indiana University, Bloomington",M.S.,Data Science—Computational and Analytical Track,信息学，计算机和工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"Indiana University, Bloomington",M.S.,Data Science—Managerial Data Science Track,信息学，计算机和工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of California, Riverside",MS,MS in Computational Data Science,工程学院,,不需要,投票结果-不需要(2票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Colorado School of Mines,MS, Applied Mathematics and Statistics—DATA SCIENCE（非论文）,应用数学和统计学系,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Colorado School of Mines,MS,DATA SCIENCE（非论文）,研究生跨学科项目,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University at Buffalo, SUNY",MS,Industrial Engineering (Data Analytics Engineering)  ,工程与应用科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University at Buffalo, SUNY",MS,Industrial Engineering (Data Analytics Engineering)  ,工程与应用科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
"University at Buffalo, SUNY",MPS,Data Sciences and Applications MPS,工程与应用科学学院,,不需要,投票结果-不需要(2票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
"University at Buffalo, SUNY",MPS,Data Sciences and Applications MPS,工程与应用科学学院,,不需要,投票结果-不需要(2票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
"University at Buffalo, SUNY",MS,Engineering Science (Data Science) MS,工程与应用科学学院,,不需要,投票结果-不需要(1票) vs 需要(0票),不需要,投票结果-不需要(1票) vs 需要(0票)
"University at Buffalo, SUNY",MS,Engineering Science (Data Science) MS,工程与应用科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University at Buffalo, SUNY",PhD,Computational and Data Enabled Sciences PhD,工程与应用科学学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
Stevens Institute of Technology,PHD,Ph.D. in Data Science,商学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
Stevens Institute of Technology,MBA,ANALYTICS MBA,商学院,,不需要,投票结果-不需要(3票) vs 需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
Stevens Institute of Technology,MBA,ANALYTICS MBA,商学院,,不需要,投票结果-不需要(2票) vs 需要(1票),需要,投票结果-需要(3票) vs 不需要(0票)
Stevens Institute of Technology,MS,"DATA SCIENCE, M.S. ",工程与科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
Stevens Institute of Technology,MS,"DATA SCIENCE, M.S. ",工程与科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Delaware,MS,Data Science,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Delaware,MS,INTERDISCIPLINARY EVALUATION SCIENCE,跨学科项目,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Worcester Polytechnic Institute,MS,DATA SCIENCE,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(1票)
Worcester Polytechnic Institute,MS,DATA SCIENCE,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),,投票平局-需要(1票) vs 不需要(1票)
Worcester Polytechnic Institute,Ph.D,DATA SCIENCE,文理学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
Worcester Polytechnic Institute,Ph.D,DATA SCIENCE,文理学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
Clemson University,MS,Master of Applied Computing,工程，计算机和应用科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Clemson University,MS,Master of Applied Computing,工程，计算机和应用科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
Clemson University,MS,Computer Science,工程，计算机和应用科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Clemson University,MS,Computer Science,工程，计算机和应用科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Clemson University,MS,Data Science and Analytics,理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Marquette University,MS,COMPUTER AND INFORMATION SCIENCE：AI and Analytics ,文理学院,,不需要,投票结果-不需要(2票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
Marquette University,MS,COMPUTER AND INFORMATION SCIENCE：AI and Analytics ,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Marquette University,MS, Master of Science in Data Science,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Marquette University,MS, Master of Science in Data Science,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Marquette University,MS,APPLIED PSYCHOLOGY DATA ANALYTICS,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
New Jersey Institute of Technology,M.S.,Masters of Science in Data Science - Statistics Track,科学与人文学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
New Jersey Institute of Technology,M.S.,Data Science - M.S.（Newark）,计算机学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
New Jersey Institute of Technology,M.S.,Data Science - M.S.（Jersey City）,计算机学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
New Jersey Institute of Technology,PhD,Data Science - M.S.,计算机学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
New Jersey Institute of Technology,PhD,Business Data Science - Ph.D.,管理学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
Fordham University,M.A.,Master of Science in Data Science and Quantitative Economics,文理研究生院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Fordham University,MS,Master of Science in Data Science,文理研究生院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Fordham University,MS,Master of Science in Data Science,文理研究生院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Fordham University,MS,Master of Science in Data Science,文理研究生院,,不需要,投票结果-不需要(2票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
University of South Florida,PhD,Big Data Analytics,商学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
University of South Florida,MS,Industrial Engineering：Master of Science in Data Intelligence,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of South Florida,MS,Industrial Engineering：Master of Science in Data Intelligence,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Southern Methodist University,PHD,Ph.D. in Data Science,人文与科学学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
Southern Methodist University,MS,Data Science & Applied Statistics MS,人文与科学学院,,不需要,投票结果-不需要(2票) vs 需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
Southern Methodist University,MS,M.S in OR and Analytics ,工程学院,,不需要,投票结果-不需要(2票) vs 需要(1票),不需要,投票结果-不需要(3票) vs 需要(0票)
Southern Methodist University,MS,M.S in OR and Analytics ,工程学院,,不需要,投票结果-不需要(2票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Southern Methodist University,MS,M.S. Data Engineering,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),需要,投票结果-需要(2票) vs 不需要(1票)
Southern Methodist University,MS,M.S. Datacenter Systems Engineering,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Southern Methodist University,MS,M.S. Data Engineering,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
Southern Methodist University,MS,M.S. Datacenter Systems Engineering,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Temple University,MS,Statistics and Data Science,商学院,,不需要,投票结果-不需要(3票) vs 需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
Temple University,MS,Computational Data Science MS,科学技术学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Iowa,Ph.D,Statistics—data science,文理学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
University of Iowa,MS,data science,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Iowa,MS,data science,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Auburn University,MS,Data Science and Engineering – Data Engineering Option,工程学院,,不需要,投票结果-不需要(2票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Auburn University,MS,Data Science and Engineering – Data Engineering Option,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
Auburn University,MS,Data Science and Engineering – Data Science Option,科学与数学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Auburn University,MS,Data Science and Engineering – Data Science Option,科学与数学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(1票)
Baylor University,Ph.D.,Statistical Science  Concentration in Data Science,文理学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
Drexel University,MS,MS in Data Science,计算与信息学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Drexel University,MS,MS in Data Science,计算与信息学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Drexel University,PhD,PhD in Information Science,计算与信息学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
University of Oregon,MS,Data Science,Phil and Penny Knight Campus for Accelerating Scientific Impact,,需要,投票结果-需要(3票) vs 不需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
"Rutgers University, Camden",M.S.,COMPUTER SCIENCE M.S.,文理研究生院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"Rutgers University, Camden",M.S.,DATA SCIENCE M.S.,文理研究生院,,不需要,投票结果-不需要(2票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Rochester Institute of Technology,MS,Data Science MS  ,罗切斯特理工学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Illinois Institute of Technology,M.S.,Economics and Data Analytics (M.S.),商学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Illinois Institute of Technology,M.A.S,Data Science Master’s—Master of Applied Science (M.A.S.),计算机学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Colorado, Boulder",MS,Professional Master's in Data Science,工程与应用科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Colorado, Boulder",MS,Statistics and Data Science,工程与应用科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Colorado, Boulder",MS,Statistics and Data Science,工程与应用科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
American University,MS,Quantitative Analysis MS,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
American University,MS,Quantitative Analysis MS,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
American University,MS,Data Science MS,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
American University,MS,Data Science MS,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
American University,MS,MS Analytics,商学院,,,投票平局-需要(1票) vs 不需要(1票),需要,投票结果-需要(3票) vs 不需要(0票)
Yeshiva University,MS,Data Analytics and Visualization (MS),科学与卫生学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Yeshiva University,MS,Data Analytics and Visualization (MS),科学与卫生学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of San Francisco,MS,Data Science (formerly Analytics),文理学院,,需要,投票结果-需要(3票) vs 不需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
University of Arizona,MS,Statistics and Data Science (MS),研究生院跨学科课程,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Arizona,PHD,Statistics and Data Science (PHD),研究生院跨学科课程,,,PhD项目-默认跳过,,PhD项目-默认跳过
University of Arizona,PHD,Statistics and Data Science (PHD) - Statistical Informatics,研究生院跨学科课程,,,PhD项目-默认跳过,,PhD项目-默认跳过
